Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
14:43:07,121,7744000,41.29,40.91,24.13,1544167.5,100%,0,0,0
14:43:12,240,15360000,20.86,20.56,47.77,3057324.84,100%,1,1,1
14:43:17,215,13760000,23.27,22.87,42.8,2739398.77,100%,2,2,2
14:43:22,0,0,N/A,N/A,0,0,N/A,3,3,3
14:43:27,202,12928000,26.59,25.98,74.79,4786375.42,100%,4,4,4
14:43:32,178,11392000,27.99,27.04,35.42,2266613.61,100%,5,5,5
14:43:37,212,13568000,23.41,22.53,42.35,2710347.58,100%,6,6,6
14:43:42,203,12992000,24.62,24.28,40.46,2589595.38,100%,7,7,7
14:43:47,181,11584000,27.43,26.42,36.13,2312637.25,100%,8,8,8
14:43:52,172,11008000,28.9,27.94,34.4,2201600,100%,9,9,9
14:43:57,185,11840000,26.72,25.71,36.97,2366107.11,100%,10,10,10
14:44:02,235,15040000,21.26,20.86,46.82,2996612.87,100%,11,11,11
14:44:07,146,9344000,34.22,33.34,29.04,1858762.68,100%,12,12,12
14:44:12,208,13312000,23.9,22.85,41.41,2650209.04,100%,13,13,13
14:44:17,170,10880000,29.19,28.21,33.96,2173391.93,100%,14,14,14
14:44:22,168,10752000,29.74,29.22,33.45,2140979.69,100%,15,15,15
14:44:27,146,9344000,34.07,33.07,29.15,1865814.7,100%,16,16,16
14:44:32,200,12800000,24.82,23.74,39.86,2550817.06,100%,17,17,17
14:44:37,154,9856000,32.28,31.27,30.77,1969230.77,100%,18,18,18
14:44:42,195,12480000,25.54,25.15,39,2496000,100%,19,19,19
14:44:47,207,13248000,24,23,41.28,2642201.83,100%,20,20,20
14:44:52,191,12224000,26.08,25.35,38.11,2438946.53,100%,21,21,21
14:44:57,196,12544000,25.44,24.42,39.06,2499800.72,100%,22,22,22
14:45:02,165,10560000,30.39,30.05,32.82,2100656.46,100%,23,23,23
14:45:07,167,10688000,29.78,28.86,33.32,2132482.04,100%,24,24,24
14:45:12,202,12928000,24.61,23.64,40.3,2578894.87,100%,25,25,25
14:45:17,205,13120000,24.41,23.41,40.59,2598019.8,100%,26,26,26
14:45:22,157,10048000,31.8,31.45,31.37,2007993.61,100%,27,27,27
14:45:27,154,9856000,32.32,31.34,30.71,1965304.09,100%,28,28,28
14:45:32,178,11392000,27.99,27.35,35.54,2274306.25,100%,29,29,29
14:45:37,148,9472000,33.65,32.62,29.53,1889864.33,100%,30,30,30
14:45:42,149,9536000,33.6,33.19,29.7,1901116.43,100%,31,31,31
14:45:47,208,13312000,23.94,22.9,41.42,2650736.76,100%,32,32,32
14:45:52,223,14272000,22.3,21.7,44.56,2852118.31,100%,33,33,33
14:45:57,163,10432000,30.62,29.87,32.53,2081820,100%,34,34,34
14:46:02,180,11520000,27.76,27.47,35.92,2298942.33,100%,35,35,35
14:46:07,170,10880000,29.31,28.62,33.92,2170790.1,100%,36,36,36
14:46:12,185,11840000,26.89,25.95,36.92,2362801.84,100%,37,37,37
14:46:17,214,13696000,23.17,22.27,42.76,2736463.54,100%,38,38,38
14:46:22,223,14272000,22.37,21.99,44.49,2847565.84,100%,39,39,39
14:46:27,178,11392000,27.97,27.07,35.48,2270679.69,100%,40,40,40
14:46:32,204,13056000,24.38,23.4,40.62,2599761.05,100%,41,41,41
14:46:37,196,12544000,25.33,24.35,39.09,2501794.97,100%,42,42,42
14:46:42,216,13824000,23.1,22.78,43.19,2764247.15,100%,43,43,43
14:46:47,228,14592000,21.81,21.05,45.55,2914902.12,100%,44,44,44
14:46:52,172,11008000,29.04,28.27,34.28,2193702.67,100%,45,45,45
14:46:57,131,8384000,37.96,36.97,26.17,1674790.25,100%,46,46,46
14:47:02,200,12800000,24.92,24.59,39.97,2557953.64,100%,47,47,47
14:47:07,228,14592000,21.77,20.85,45.55,2915484.52,100%,48,48,48
14:47:12,176,11264000,28.48,27.66,34.92,2234920.63,100%,49,49,49
14:47:17,172,11008000,29.05,28.15,34.19,2188469.18,100%,50,50,50
14:47:22,174,11136000,28.68,28.32,34.79,2226309.48,100%,51,51,51
14:47:27,191,12224000,26.1,25.08,37.93,2427805.36,100%,52,52,52
14:47:32,219,14016000,22.61,21.56,43.74,2799281.01,100%,53,53,53
14:47:37,204,13056000,24.31,23.34,40.8,2611200,100%,54,54,54
14:47:42,181,11584000,27.57,27.16,36.18,2315410.75,100%,55,55,55
14:47:47,196,12544000,25.3,24.32,39.13,2504292.27,100%,56,56,56
14:47:52,166,10624000,30.01,29.02,33.03,2113808.2,100%,57,57,57
14:47:57,218,13952000,22.84,21.88,43.45,2780944.79,100%,58,58,58
14:48:02,177,11328000,28.35,27.84,35.17,2251192.37,100%,59,59,59
14:48:07,223,14272000,22.3,21.34,44.54,2850409.43,100%,60,60,60
14:48:12,214,13696000,23.46,22.44,42.29,2706719.37,100%,61,61,61
14:48:17,179,11456000,27.86,26.97,35.62,2279801,100%,62,62,62
14:48:22,202,12928000,24.71,24.29,40.32,2580439.12,100%,63,63,63
14:48:27,202,12928000,24.59,23.69,40.3,2579409.42,100%,64,64,64
14:48:32,214,13696000,23.19,22.15,42.7,2732641.66,100%,65,65,65
14:48:37,169,10816000,29.54,28.73,33.67,2154581.67,100%,66,66,66
14:48:42,153,9792000,32.71,32.29,30.49,1951375.05,100%,67,67,67
14:48:47,172,11008000,28.99,27.97,34.29,2194577.35,100%,68,68,68
14:48:52,210,13440000,23.73,22.73,41.8,2675159.24,100%,69,69,69
14:48:57,183,11712000,27.28,26.83,36.48,2334928.23,100%,70,70,70
14:49:02,180,11520000,27.72,27.18,35.9,2297566.81,100%,71,71,71
14:49:07,220,14080000,22.65,21.75,43.85,2806458.04,100%,72,72,72
14:49:12,211,13504000,23.59,22.62,42.09,2693796.13,100%,73,73,73
14:49:17,210,13440000,23.59,22.83,41.97,2685851.32,100%,74,74,74
14:49:22,196,12544000,25.4,24.85,39.18,2507295.62,100%,75,75,75
14:49:27,170,10880000,29.31,28.29,33.88,2168194.5,100%,76,76,76
14:49:32,177,11328000,28.06,27.01,35.4,2265600,100%,77,77,77
14:49:37,209,13376000,23.78,22.85,41.73,2670926.52,100%,78,78,78
14:49:42,183,11712000,27.28,26.7,36.46,2333532.58,100%,79,79,79
14:49:47,191,12224000,25.92,24.91,38.14,2440894.57,100%,80,80,80
14:49:52,215,13760000,23.07,22.08,42.92,2747055.3,100%,81,81,81
14:49:57,179,11456000,27.77,26.92,35.74,2287083.25,100%,82,82,82
14:50:02,185,11840000,27.07,26.61,36.82,2356687.9,100%,83,83,83
14:50:07,144,9216000,34.52,33.64,28.78,1841726.62,100%,84,84,84
14:50:12,211,13504000,23.43,22.44,42.18,2699720.11,100%,85,85,85
14:50:17,168,10752000,29.68,28.82,33.47,2141832.67,100%,86,86,86
14:50:22,178,11392000,28.03,27.44,35.42,2267064.68,100%,87,87,87
14:50:27,216,13824000,22.94,21.93,43.09,2757630.16,100%,88,88,88
14:50:32,151,9664000,32.91,31.93,30.17,1930869.13,100%,89,89,89
14:50:37,188,12032000,26.39,25.54,37.53,2402076.26,100%,90,90,90
14:50:42,209,13376000,23.85,23.32,41.8,2675200,100%,91,91,91
14:50:47,214,13696000,23.21,22.16,42.74,2735370.48,100%,92,92,92
14:50:52,153,9792000,32.5,31.54,30.56,1955662.07,100%,93,93,93
14:50:57,198,12672000,25.19,24.3,39.4,2521289.3,100%,94,94,94
14:51:02,190,12160000,26.28,25.72,37.89,2424725.82,100%,95,95,95
14:51:07,216,13824000,23,22.08,43.09,2757630.16,100%,96,96,96
14:51:12,195,12480000,25.5,24.51,38.91,2490520.85,100%,97,97,97
14:51:17,136,8704000,36.66,35.84,27.11,1735247.21,100%,98,98,98
14:51:22,164,10496000,30.41,29.93,32.75,2096265.23,100%,99,99,99
14:51:27,212,13568000,23.34,22.31,42.26,2704944.18,100%,100,100,100
14:51:32,227,14528000,21.8,20.74,45.38,2904438.22,100%,101,101,101
14:51:37,199,12736000,25.01,24.22,39.66,2538062.97,100%,102,102,102
14:51:42,220,14080000,22.61,22.03,43.98,2814874.05,100%,103,103,103
14:51:47,167,10688000,29.72,28.74,33.36,2135037.95,100%,104,104,104
14:51:52,221,14144000,22.55,21.62,43.99,2815286.62,100%,105,105,105
14:51:57,217,13888000,22.9,22.1,43.23,2766533.86,100%,106,106,106
14:52:02,193,12352000,25.92,25.37,38.43,2459577.86,100%,107,107,107
14:52:07,184,11776000,27.01,26.12,36.73,2350499,100%,108,108,108
14:52:12,209,13376000,23.77,22.74,41.67,2667198.4,100%,109,109,109
14:52:17,177,11328000,28.16,27.41,35.29,2258373.21,100%,110,110,110
14:52:22,162,10368000,30.9,30.36,32.25,2064105.12,100%,111,111,111
14:52:27,194,12416000,25.73,24.85,38.64,2472814.18,100%,112,112,112
14:52:32,181,11584000,27.53,26.88,36.15,2313561.01,100%,113,113,113
14:52:37,216,13824000,23.01,22.4,43.19,2764247.15,100%,114,114,114
14:52:42,214,13696000,23.32,22.86,42.66,2730462.52,100%,115,115,115
14:52:47,189,12096000,26.3,25.78,37.76,2416783.22,100%,116,116,116
14:52:52,156,9984000,31.98,31.41,31.18,1995602.64,100%,117,117,117
14:52:57,210,13440000,23.73,23,41.89,2681029.32,100%,118,118,118
14:53:02,190,12160000,26.28,25.93,37.95,2428599.96,100%,119,119,119
14:53:07,223,14272000,22.39,21.97,44.47,2845862.41,100%,120,120,120
14:53:12,219,14016000,22.69,21.91,43.74,2799281.01,100%,121,121,121
14:53:17,188,12032000,26.59,25.94,37.41,2394427.86,100%,122,122,122
14:53:22,185,11840000,27.19,26.62,36.63,2344090.28,100%,123,123,123
14:53:27,151,9664000,32.95,32.17,30.19,1932027.19,100%,124,124,124
14:53:32,164,10496000,30.35,29.46,32.76,2096683.98,100%,125,125,125
14:53:37,213,13632000,23.36,22.55,42.51,2720958.08,100%,126,126,126
14:53:42,187,11968000,26.71,26.22,37.31,2387869.11,100%,127,127,127
14:53:47,185,11840000,26.89,25.89,36.82,2356218.91,100%,128,128,128
14:53:52,171,10944000,29.02,28.04,34.12,2183995.21,100%,129,129,129
14:53:57,175,11200000,28.49,27.9,34.97,2237762.24,100%,130,130,130
14:54:02,192,12288000,25.96,25.42,38.33,2453184.27,100%,131,131,131
14:54:07,223,14272000,22.37,21.69,44.51,2848702.59,100%,132,132,132
14:54:12,154,9856000,32.64,31.84,30.52,1953230.28,100%,133,133,133
14:54:17,208,13312000,23.91,23.42,41.58,2661335.47,100%,134,134,134
14:54:22,222,14208000,22.43,21.86,44.36,2838761.24,100%,135,135,135
14:54:27,174,11136000,28.64,28.09,34.76,2224530.56,100%,136,136,136
14:54:32,236,15104000,21.08,20.38,47.19,3020195.96,100%,137,137,137
14:54:37,202,12928000,24.71,24.25,40.3,2578894.87,100%,138,138,138
14:54:42,198,12672000,25.15,24.67,39.56,2531868.13,100%,139,139,139
14:54:47,212,13568000,23.5,22.9,42.34,2709806.27,100%,140,140,140
14:54:52,154,9856000,32.58,31.85,30.51,1952843.27,100%,141,141,141
14:54:57,202,12928000,24.67,24.11,40.26,2576838.75,100%,142,142,142
14:55:02,212,13568000,23.65,23.28,42.15,2697415.51,100%,143,143,143
14:55:07,192,12288000,25.98,25.41,38.29,2450737.93,100%,144,144,144
14:55:12,218,13952000,22.86,22.37,43.56,2787612.39,100%,145,145,145
14:55:17,157,10048000,31.81,31.26,31.36,2006790.49,100%,146,146,146
14:55:22,200,12800000,24.96,24.38,39.87,2551834.13,100%,147,147,147
14:55:27,211,13504000,23.53,22.86,42.19,2700259.95,100%,148,148,148
14:55:32,169,10816000,29.54,28.76,33.65,2153723.62,100%,149,149,149
14:55:37,165,10560000,22.41,21.65,44.37,2839472.98,100%,150,150,150
