================================================== stage: s1-init ==================================================
---------------------------------- mission: ME2A7172DFD, driver: driver1 ----------------------------------
2019-07-25 14:42:54,005 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/ME2A7172DFD.log
2019-07-25 14:42:54,214 [INFO] [NoneStorage] - performing PUT at /cf1
2019-07-25 14:42:54,283 [INFO] [NoneStorage] - performing PUT at /cf2
2019-07-25 14:42:54,330 [INFO] [NoneStorage] - performing PUT at /cf3
2019-07-25 14:42:54,378 [INFO] [NoneStorage] - performing PUT at /cf4
2019-07-25 14:42:54,428 [INFO] [NoneStorage] - performing PUT at /cf5
================================================== stage: s2-write ==================================================
---------------------------------- mission: M82A718A4EF, driver: driver1 ----------------------------------
2019-07-25 14:43:00,003 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/M82A718A4EF.log
2019-07-25 14:43:00,210 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1
2019-07-25 14:43:00,268 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects2
2019-07-25 14:43:00,297 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects3
2019-07-25 14:43:00,350 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects4
2019-07-25 14:43:00,380 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects5
2019-07-25 14:43:00,434 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects6
2019-07-25 14:43:00,461 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects7
2019-07-25 14:43:00,487 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects8
2019-07-25 14:43:00,529 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects9
2019-07-25 14:43:00,579 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects10
2019-07-25 14:43:00,606 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects11
2019-07-25 14:43:00,638 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects12
2019-07-25 14:43:00,666 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects13
2019-07-25 14:43:00,722 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects14
2019-07-25 14:43:00,752 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects15
2019-07-25 14:43:00,775 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects16
2019-07-25 14:43:00,800 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects17
2019-07-25 14:43:00,826 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects18
2019-07-25 14:43:00,861 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects19
2019-07-25 14:43:00,927 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects20
2019-07-25 14:43:00,966 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects21
2019-07-25 14:43:00,996 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects22
2019-07-25 14:43:01,044 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects23
2019-07-25 14:43:01,073 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects24
2019-07-25 14:43:01,126 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects25
2019-07-25 14:43:01,160 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects26
2019-07-25 14:43:01,213 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects27
2019-07-25 14:43:01,256 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects28
2019-07-25 14:43:01,307 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects29
2019-07-25 14:43:01,334 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects30
2019-07-25 14:43:01,363 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects31
2019-07-25 14:43:01,398 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects32
2019-07-25 14:43:01,434 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects33
2019-07-25 14:43:01,470 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects34
2019-07-25 14:43:01,527 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects35
2019-07-25 14:43:01,556 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects36
2019-07-25 14:43:01,604 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects37
2019-07-25 14:43:01,634 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects38
2019-07-25 14:43:01,701 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects39
2019-07-25 14:43:01,737 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects40
2019-07-25 14:43:01,803 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects41
2019-07-25 14:43:01,829 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects42
2019-07-25 14:43:01,861 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects43
2019-07-25 14:43:01,884 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects44
2019-07-25 14:43:01,916 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects45
2019-07-25 14:43:01,948 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects46
2019-07-25 14:43:01,994 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects47
2019-07-25 14:43:02,024 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects48
2019-07-25 14:43:02,047 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects49
2019-07-25 14:43:02,079 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects50
2019-07-25 14:43:02,141 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects51
2019-07-25 14:43:02,175 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects52
2019-07-25 14:43:02,234 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects53
2019-07-25 14:43:02,268 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects54
