Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
15:01:40,374,0,13.38,13.38,74.7,0,100%,0,0,0
15:01:45,359,0,13.95,13.95,71.61,0,100%,1,1,1
15:01:50,289,0,17.3,17.3,57.73,0,100%,2,2,2
15:01:55,293,0,17.07,17.07,58.53,0,100%,3,3,3
15:02:00,363,0,13.79,13.79,72.41,0,100%,4,4,4
15:02:05,326,0,15.36,15.36,65,0,100%,5,5,5
15:02:10,335,0,14.94,14.94,66.89,0,100%,6,6,6
15:02:15,338,0,14.81,14.81,67.44,0,100%,7,7,7
15:02:20,349,0,14.31,14.31,69.8,0,100%,8,8,8
15:02:25,333,0,15.02,15.02,66.49,0,100%,9,9,9
15:02:30,381,0,13.16,13.16,75.93,0,100%,10,10,10
15:02:35,359,0,13.94,13.94,71.71,0,100%,11,11,11
15:02:40,322,0,15.54,15.54,64.26,0,100%,12,12,12
15:02:45,265,0,18.87,18.87,52.94,0,100%,13,13,13
15:02:50,266,0,18.82,18.82,53.1,0,100%,14,14,14
15:02:55,268,0,18.66,18.66,53.54,0,100%,15,15,15
15:03:00,267,0,18.76,18.76,53.26,0,100%,16,16,16
15:03:05,255,0,19.67,19.67,50.81,0,100%,17,17,17
15:03:10,266,0,18.8,18.8,53.16,0,100%,18,18,18
15:03:15,284,0,17.61,17.61,56.75,0,100%,19,19,19
15:03:20,267,0,18.74,18.74,53.3,0,100%,20,20,20
15:03:25,228,0,21.94,21.94,45.55,0,100%,21,21,21
15:03:30,253,0,19.8,19.8,50.49,0,100%,22,22,22
15:03:35,264,0,18.94,18.94,52.77,0,100%,23,23,23
15:03:40,232,0,21.59,21.59,46.27,0,100%,24,24,24
15:03:45,0,0,N/A,N/A,0,0,N/A,25,25,25
15:03:50,252,0,20.6,20.6,97.04,0,100%,26,26,26
15:03:55,203,0,24.68,24.68,40.49,0,100%,27,27,27
15:04:00,275,0,18.19,18.19,54.95,0,100%,28,28,28
15:04:05,272,0,18.38,18.38,54.4,0,100%,29,29,29
15:04:10,282,0,17.76,17.76,56.29,0,100%,30,30,30
15:04:15,276,0,18.13,18.13,55.1,0,100%,31,31,31
15:04:20,273,0,18.34,18.34,54.5,0,100%,32,32,32
15:04:25,255,0,19.59,19.59,50.99,0,100%,33,33,33
15:04:30,278,0,18.05,18.05,55.41,0,100%,34,34,34
15:04:35,280,0,17.92,17.92,55.81,0,100%,35,35,35
15:04:40,159,0,31.52,31.52,31.7,0,100%,36,36,36
15:04:45,254,0,19.69,19.69,50.71,0,100%,37,37,37
15:04:50,180,0,29.07,29.07,34.4,0,100%,38,38,38
15:04:55,180,0,27.86,27.86,35.89,0,100%,39,39,39
15:05:00,274,0,18.24,18.24,54.79,0,100%,40,40,40
15:05:05,185,0,27.09,27.09,36.9,0,100%,41,41,41
15:05:10,258,0,19.38,19.38,51.57,0,100%,42,42,42
15:05:15,279,0,17.95,17.95,55.69,0,100%,43,43,43
15:05:20,289,0,17.31,17.31,57.74,0,100%,44,44,44
15:05:25,286,0,17.52,17.52,57.05,0,100%,45,45,45
