================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M42A8287A66, driver: driver1 ----------------------------------
2019-07-25 15:01:33,004 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/M42A8287A66.log
2019-07-25 15:01:33,213 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects1
2019-07-25 15:01:33,249 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2
2019-07-25 15:01:33,266 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects3
2019-07-25 15:01:33,279 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects4
2019-07-25 15:01:33,292 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects5
2019-07-25 15:01:33,305 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects6
2019-07-25 15:01:33,318 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects7
2019-07-25 15:01:33,332 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects8
2019-07-25 15:01:33,346 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects9
2019-07-25 15:01:33,358 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects10
2019-07-25 15:01:33,370 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects11
2019-07-25 15:01:33,382 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects12
2019-07-25 15:01:33,395 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects13
2019-07-25 15:01:33,407 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects14
2019-07-25 15:01:33,420 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects15
2019-07-25 15:01:33,433 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects16
2019-07-25 15:01:33,445 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects17
2019-07-25 15:01:33,459 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects18
2019-07-25 15:01:33,472 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects19
2019-07-25 15:01:33,484 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects20
2019-07-25 15:01:33,497 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects21
2019-07-25 15:01:33,510 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects22
2019-07-25 15:01:33,522 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects23
2019-07-25 15:01:33,536 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects24
2019-07-25 15:01:33,548 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects25
2019-07-25 15:01:33,560 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects26
2019-07-25 15:01:33,573 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects27
2019-07-25 15:01:33,586 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects28
2019-07-25 15:01:33,598 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects29
2019-07-25 15:01:33,610 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects30
2019-07-25 15:01:33,622 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects31
2019-07-25 15:01:33,636 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects32
2019-07-25 15:01:33,648 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects33
2019-07-25 15:01:33,660 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects34
2019-07-25 15:01:33,675 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects35
2019-07-25 15:01:33,688 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects36
2019-07-25 15:01:33,702 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects37
2019-07-25 15:01:33,714 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects38
2019-07-25 15:01:33,726 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects39
2019-07-25 15:01:33,737 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects40
2019-07-25 15:01:33,757 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects41
2019-07-25 15:01:33,770 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects42
2019-07-25 15:01:33,783 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects43
2019-07-25 15:01:33,795 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects44
2019-07-25 15:01:33,808 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects45
2019-07-25 15:01:33,821 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects46
2019-07-25 15:01:33,833 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects47
2019-07-25 15:01:33,846 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects48
2019-07-25 15:01:33,860 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects49
2019-07-25 15:01:33,872 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects50
2019-07-25 15:01:33,884 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects51
2019-07-25 15:01:33,896 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects52
2019-07-25 15:01:33,908 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects53
2019-07-25 15:01:33,923 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects54
2019-07-25 15:01:33,935 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects55
2019-07-25 15:01:33,947 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects56
2019-07-25 15:01:33,959 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects57
2019-07-25 15:01:33,971 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects58
2019-07-25 15:01:33,985 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects59
2019-07-25 15:01:33,997 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects60
2019-07-25 15:01:34,009 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects61
2019-07-25 15:01:34,021 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects62
2019-07-25 15:01:34,033 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects63
2019-07-25 15:01:34,048 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects64
2019-07-25 15:01:34,060 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects65
2019-07-25 15:01:34,072 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects66
2019-07-25 15:01:34,086 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects67
2019-07-25 15:01:34,099 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects68
2019-07-25 15:01:34,112 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects69
2019-07-25 15:01:34,124 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects70
2019-07-25 15:01:34,136 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects71
2019-07-25 15:01:34,149 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects72
2019-07-25 15:01:34,161 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects73
2019-07-25 15:01:34,173 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects74
2019-07-25 15:01:34,186 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects75
2019-07-25 15:01:34,197 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects76
2019-07-25 15:01:34,209 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects77
2019-07-25 15:01:34,221 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects78
2019-07-25 15:01:34,233 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects79
2019-07-25 15:01:34,247 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects80
2019-07-25 15:01:34,259 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects81
2019-07-25 15:01:34,271 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects82
2019-07-25 15:01:34,283 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects83
2019-07-25 15:01:34,296 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects84
2019-07-25 15:01:34,308 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects85
2019-07-25 15:01:34,320 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects86
2019-07-25 15:01:34,332 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects87
2019-07-25 15:01:34,344 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects88
2019-07-25 15:01:34,355 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects89
2019-07-25 15:01:34,368 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects90
2019-07-25 15:01:34,379 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects91
2019-07-25 15:01:34,391 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects92
2019-07-25 15:01:34,403 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects93
