Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
13:01:35,155,9920000,32.15,31.58,30.94,1980435.22,100%,0,0,0
13:01:40,264,16896000,18.87,18.52,52.63,3368421.05,100%,1,1,1
13:01:45,238,15232000,20.89,20.29,47.52,3041533.55,100%,2,2,2
13:01:50,232,14848000,21.44,20.71,46.26,2960717.85,100%,3,3,3
13:01:55,192,12288000,25.82,24.59,38.4,2457600,100%,4,4,4
13:02:00,194,12416000,25.71,24.39,38.58,2469371.52,100%,5,5,5
13:02:05,234,14976000,21.23,20.47,46.73,2990415.34,100%,6,6,6
13:02:10,231,14784000,21.45,20.64,46.2,2956800,100%,7,7,7
13:02:15,196,12544000,25.37,24.06,39.06,2499800.72,100%,8,8,8
13:02:20,200,12800000,24.75,23.5,39.99,2559488.1,100%,9,9,9
13:02:25,245,15680000,20.3,19.6,48.96,3133493.21,100%,10,10,10
13:02:30,260,16640000,19.25,18.69,51.71,3309466.98,100%,11,11,11
13:02:35,202,12928000,24.56,23.31,40.38,2584049.57,100%,12,12,12
13:02:40,212,13568000,23.42,22.41,42.28,2706023.14,100%,13,13,13
13:02:45,252,16128000,19.7,19.11,50.3,3219161.68,100%,14,14,14
13:02:50,236,15104000,21.07,20.27,47.1,3014168.83,100%,15,15,15
13:02:55,209,13376000,23.59,22.41,41.76,2672527.47,100%,16,16,16
13:03:00,210,13440000,23.56,22.39,41.87,2679425.84,100%,17,17,17
13:03:05,228,14592000,21.73,20.85,45.46,2909670.99,100%,18,18,18
13:03:10,250,16000000,19.86,19.24,49.95,3196803.2,100%,19,19,19
13:03:15,200,12800000,24.75,23.59,39.93,2555400.28,100%,20,20,20
13:03:20,198,12672000,24.97,23.76,39.57,2532374.1,100%,21,21,21
13:03:25,239,15296000,20.84,20.13,47.68,3051266.71,100%,22,22,22
13:03:30,233,14912000,21.3,20.47,46.59,2981803.64,100%,23,23,23
13:03:35,207,13248000,23.99,22.86,41.4,2649600,100%,24,24,24
13:03:40,243,15552000,20.47,19.84,48.44,3100478.47,100%,25,25,25
13:03:45,248,15872000,20,19.37,49.57,3172496.5,100%,26,26,26
13:03:50,237,15168000,20.96,20.21,47.31,3028149.33,100%,27,27,27
13:03:55,230,14720000,21.59,20.77,45.92,2938710.32,100%,28,28,28
13:04:00,231,14784000,21.54,20.77,46.14,2953256.09,100%,29,29,29
13:04:05,247,15808000,20.12,19.5,49.35,3158441.56,100%,30,30,30
13:04:10,234,14976000,21.23,20.4,46.61,2983266.93,100%,31,31,31
13:04:15,202,12928000,24.48,23.3,40.32,2580439.12,100%,32,32,32
13:04:20,155,9920000,32,30.79,31,1984000,100%,33,33,33
13:04:25,148,9472000,33.64,32.93,29.59,1894021.2,100%,34,34,34
13:04:30,131,8384000,38.29,37.43,26,1664152.44,100%,35,35,35
13:04:35,111,7104000,44.96,43.65,22.16,1417964.07,100%,36,36,36
13:04:40,111,7104000,44.85,43.61,22.19,1420231.91,100%,37,37,37
13:04:45,124,7936000,40.23,39.56,24.77,1585297.64,100%,38,38,38
13:04:50,0,0,N/A,N/A,0,0,N/A,39,39,39
13:04:55,119,7616000,42.24,41.29,47.14,3016835.02,100%,40,40,40
13:05:00,112,7168000,44.81,43.54,22.21,1421376.16,100%,41,41,41
13:05:05,113,7232000,44.24,42.95,22.52,1441498.9,100%,42,42,42
13:05:10,120,7680000,41.77,41.12,23.88,1528358.21,100%,43,43,43
13:05:15,117,7488000,42.85,42.03,23.27,1488964.01,100%,44,44,44
13:05:20,110,7040000,45.45,44.15,21.92,1402669.85,100%,45,45,45
13:05:25,110,7040000,45.56,44.35,21.84,1397934.87,100%,46,46,46
13:05:30,122,7808000,41.08,40.46,24.24,1551052.84,100%,47,47,47
