================================================== stage: s1-init ==================================================
---------------------------------- mission: MF17CA8A633, driver: driver1 ----------------------------------
2020-03-26 13:01:22,070 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/MF17CA8A633.log
2020-03-26 13:01:22,628 [INFO] [NoneStorage] - performing PUT at /cf1
2020-03-26 13:01:22,774 [INFO] [NoneStorage] - performing PUT at /cf2
2020-03-26 13:01:22,828 [INFO] [NoneStorage] - performing PUT at /cf3
2020-03-26 13:01:22,861 [INFO] [NoneStorage] - performing PUT at /cf4
2020-03-26 13:01:22,892 [INFO] [NoneStorage] - performing PUT at /cf5
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M817CAA3328, driver: driver1 ----------------------------------
2020-03-26 13:01:28,005 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/M817CAA3328.log
2020-03-26 13:01:28,219 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1
2020-03-26 13:01:30,070 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects2
2020-03-26 13:01:30,089 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects3
2020-03-26 13:01:30,107 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects4
2020-03-26 13:01:30,126 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects5
2020-03-26 13:01:30,160 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects6
2020-03-26 13:01:30,190 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects7
2020-03-26 13:01:30,213 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects8
2020-03-26 13:01:30,232 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects9
2020-03-26 13:01:30,252 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects10
2020-03-26 13:01:30,278 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects11
2020-03-26 13:01:30,304 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects12
2020-03-26 13:01:30,331 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects13
2020-03-26 13:01:30,357 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects14
2020-03-26 13:01:30,381 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects15
2020-03-26 13:01:30,403 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects16
2020-03-26 13:01:30,441 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects17
2020-03-26 13:01:30,462 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects18
2020-03-26 13:01:30,488 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects19
2020-03-26 13:01:30,515 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects20
2020-03-26 13:01:30,542 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects21
2020-03-26 13:01:30,567 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects22
2020-03-26 13:01:30,593 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects23
2020-03-26 13:01:30,624 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects24
2020-03-26 13:01:30,648 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects25
2020-03-26 13:01:30,671 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects26
2020-03-26 13:01:30,698 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects27
2020-03-26 13:01:30,730 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects28
2020-03-26 13:01:30,756 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects29
2020-03-26 13:01:30,781 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects30
