Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
13:47:48,328,60,92,72,20992000,0,5888000,0,5.51,0.1,23.41,14.44,5.24,0.1,23.08,14.44,65.26,11.94,18.3,14.33,4176681.26,0,1171508.16,0,100%,100%,100%,100%,0,0,0
13:47:53,325,45,87,84,20800000,0,5568000,0,5.28,0.09,23.28,14.9,5.03,0.09,22.84,14.9,64.84,8.98,17.36,16.76,4150039.9,0,1110933.76,0,100%,100%,100%,100%,1,1,1
13:47:58,226,40,56,63,14464000,0,3584000,0,8.78,0.25,31.05,19.89,8.09,0.25,29.77,19.89,45.08,7.98,11.17,12.57,2885298.22,0,714941.15,0,100%,100%,100%,100%,2,2,2
13:48:03,290,47,100,61,18560000,0,6400000,0,6.1,0.09,22.87,15.05,5.81,0.09,22.4,15.05,58,9.4,20,12.2,3712000,0,1280000,0,100%,100%,100%,100%,3,3,3
13:48:08,331,51,86,66,21184000,0,5504000,0,6.12,0.16,23.26,14.68,5.79,0.16,22.64,14.68,65.86,10.15,17.11,13.13,4214882.61,0,1095105.45,0,100%,100%,100%,100%,4,4,4
13:48:13,242,39,59,50,15488000,0,3776000,0,9.07,0.21,30.25,19.76,8.26,0.21,29.12,19.76,48.38,7.8,11.8,10,3096361.46,0,754898.04,0,100%,100%,100%,100%,5,5,5
13:48:18,214,24,60,54,13696000,0,3840000,0,9.09,0.08,32.33,20.09,8.27,0.08,31.08,20.09,42.77,4.8,11.99,10.79,2737557.47,0,767539.48,0,100%,100%,100%,100%,6,6,6
13:48:23,347,53,74,85,22208000,0,4736000,0,5.73,0.02,23.01,15.28,5.42,0.02,22.66,15.28,69.22,10.57,14.76,16.96,4430081.79,0,944743.67,0,100%,100%,100%,100%,7,7,7
13:48:28,264,45,78,46,16896000,0,4992000,0,7.64,0.2,27.04,18.15,7.06,0.2,26.13,18.15,52.79,9,15.6,9.2,3378524.3,0,998200.36,0,100%,100%,100%,100%,8,8,8
13:48:33,240,40,57,49,15360000,0,3648000,0,9.07,0.15,31.77,19.82,8.3,0.15,30.6,19.82,47.97,8,11.39,9.79,3070157.91,0,729162.5,0,100%,100%,100%,100%,9,9,9
13:48:38,259,53,59,57,16576000,0,3776000,0,8.48,0.17,29.98,17.49,7.87,0.17,28.88,17.49,51.78,10.6,11.8,11.4,3313874.45,0,754898.04,0,100%,100%,100%,100%,10,10,10
13:48:43,321,48,82,77,20544000,0,5248000,0,5.68,0.08,23.96,15.48,5.37,0.08,23.55,15.48,64.2,9.6,16.4,15.4,4108800,0,1049600,0,100%,100%,100%,100%,11,11,11
13:48:48,242,50,72,59,15488000,0,4608000,0,7.66,0.12,28.25,18.59,7.09,0.12,27.42,18.59,48.13,9.94,14.32,11.73,3080350.04,0,916467.78,0,100%,100%,100%,100%,12,12,12
13:48:53,247,33,74,50,15808000,0,4736000,0,7.97,0.09,28.5,18.12,7.3,0.09,27.62,18.12,49.29,6.59,14.77,9.98,3154659.75,0,945120.73,0,100%,100%,100%,100%,13,13,13
13:48:58,213,36,65,60,13632000,0,4160000,0,8.68,0.14,29.18,20.32,7.96,0.14,28.05,20.32,42.54,7.19,12.98,11.98,2722588.38,0,830836.83,0,100%,100%,100%,100%,14,14,14
13:49:03,335,61,83,75,21440000,0,5312000,0,5.69,0.08,23.42,14.85,5.39,0.08,22.83,14.85,66.99,12.2,16.6,15,4287142.57,0,1062187.56,0,100%,100%,100%,100%,15,15,15
13:49:08,290,52,71,80,18560000,0,4544000,0,6.96,0.12,24.46,15.2,6.47,0.12,23.72,15.2,57.98,10.4,14.19,15.99,3710515.79,0,908436.63,0,100%,100%,100%,100%,16,16,16
13:49:13,261,43,66,52,16704000,0,4224000,0,8.24,0.23,29.17,17.56,7.57,0.21,28.15,17.56,51.95,8.56,13.14,10.35,3324840.76,0,840764.33,0,100%,100%,100%,100%,17,17,17
13:49:18,267,41,65,47,17088000,0,4160000,0,8.42,0.17,29.91,16.6,7.66,0.17,28.68,16.6,53.28,8.18,12.97,9.38,3410097.78,0,830173.62,0,100%,100%,100%,100%,18,18,18
13:49:23,323,59,80,84,20672000,0,5120000,0,6.11,0.15,22.84,14.08,5.7,0.15,22.34,14.08,64.41,11.76,15.95,16.75,4122033.9,0,1020937.19,0,100%,100%,100%,100%,19,19,19
