================================================== stage: s1-MAIN ==================================================
---------------------------------- mission: MD17F4F33BF, driver: driver1 ----------------------------------
2020-03-26 13:47:41,006 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/MD17F4F33BF.log
2020-03-26 13:47:41,218 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4020
2020-03-26 13:47:41,243 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1851
2020-03-26 13:47:41,252 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4764
2020-03-26 13:47:41,256 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2748
2020-03-26 13:47:41,260 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3712
2020-03-26 13:47:41,267 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5099
2020-03-26 13:47:41,271 [INFO] [NoneStorage] - performing GET at /cf4/myobjects319
2020-03-26 13:47:41,276 [INFO] [NoneStorage] - performing GET at /cf5/myobjects879
2020-03-26 13:47:41,278 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4364
2020-03-26 13:47:41,283 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4060
2020-03-26 13:47:41,286 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5622
2020-03-26 13:47:41,293 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects5126
2020-03-26 13:47:41,314 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects330
2020-03-26 13:47:41,348 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects3445
2020-03-26 13:47:41,365 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects5122
2020-03-26 13:47:41,399 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1914
2020-03-26 13:47:41,402 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3
2020-03-26 13:47:41,410 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4845
2020-03-26 13:47:41,413 [WARN] [AbstractOperator] - listerrr: cf5/myobjects1637
2020-03-26 13:47:41,413 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects1637
2020-03-26 13:47:41,413 [INFO] [NoneStorage] - performing GET at /cf3/myobjects86
2020-03-26 13:47:41,417 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3177
2020-03-26 13:47:41,420 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects3995
2020-03-26 13:47:41,431 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2966
2020-03-26 13:47:41,440 [WARN] [AbstractOperator] - listerrr: cf3/myobjects4994
2020-03-26 13:47:41,440 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects4994
2020-03-26 13:47:41,440 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects2923
2020-03-26 13:47:41,460 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects2061
2020-03-26 13:47:41,487 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2039
2020-03-26 13:47:41,491 [INFO] [NoneStorage] - performing GET at /cf5/myobjects592
2020-03-26 13:47:41,499 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4790
2020-03-26 13:47:41,501 [WARN] [AbstractOperator] - listerrr: cf5/myobjects1576
2020-03-26 13:47:41,502 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects1576
2020-03-26 13:47:41,502 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4342
2020-03-26 13:47:41,508 [WARN] [AbstractOperator] - listerrr: cf4/myobjects269
2020-03-26 13:47:41,508 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects269
2020-03-26 13:47:41,508 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects620
2020-03-26 13:47:41,526 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4516
2020-03-26 13:47:41,548 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects2154
2020-03-26 13:47:41,579 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects4239
2020-03-26 13:47:41,610 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4692
2020-03-26 13:47:41,613 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2860
2020-03-26 13:47:41,627 [WARN] [AbstractOperator] - listerrr: cf3/myobjects3881
2020-03-26 13:47:41,627 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects3881
2020-03-26 13:47:41,627 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4218
2020-03-26 13:47:41,644 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2731
2020-03-26 13:47:41,654 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5259
2020-03-26 13:47:41,657 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects2605
2020-03-26 13:47:41,679 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4783
2020-03-26 13:47:41,682 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4897
2020-03-26 13:47:41,687 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1861
2020-03-26 13:47:41,691 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4251
2020-03-26 13:47:41,698 [WARN] [AbstractOperator] - listerrr: cf3/myobjects4139
2020-03-26 13:47:41,698 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects4139
2020-03-26 13:47:41,698 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects330
2020-03-26 13:47:41,714 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1013
2020-03-26 13:47:41,737 [INFO] [NoneStorage] - performing GET at /cf4/myobjects477
2020-03-26 13:47:41,740 [WARN] [AbstractOperator] - listerrr: cf3/myobjects1377
2020-03-26 13:47:41,740 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects1377
2020-03-26 13:47:41,740 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5104
2020-03-26 13:47:41,746 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3011
2020-03-26 13:47:41,749 [INFO] [NoneStorage] - performing GET at /cf5/myobjects1348
2020-03-26 13:47:41,755 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3621
2020-03-26 13:47:41,758 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5052
2020-03-26 13:47:41,762 [INFO] [NoneStorage] - performing GET at /cf5/myobjects430
2020-03-26 13:47:41,765 [WARN] [AbstractOperator] - listerrr: cf4/myobjects5485
2020-03-26 13:47:41,765 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects5485
2020-03-26 13:47:41,765 [INFO] [NoneStorage] - performing GET at /cf4/myobjects2249
2020-03-26 13:47:41,771 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5099
2020-03-26 13:47:41,774 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3829
2020-03-26 13:47:41,778 [INFO] [NoneStorage] - performing GET at /cf4/myobjects76
2020-03-26 13:47:41,781 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3048
2020-03-26 13:47:41,784 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects4429
2020-03-26 13:47:41,799 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects4799
2020-03-26 13:47:41,817 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2358
2020-03-26 13:47:41,819 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3843
2020-03-26 13:47:41,827 [INFO] [NoneStorage] - performing GET at /cf4/myobjects724
2020-03-26 13:47:41,829 [INFO] [NoneStorage] - performing GET at /cf5/myobjects37
2020-03-26 13:47:41,832 [WARN] [AbstractOperator] - listerrr: cf5/myobjects1910
2020-03-26 13:47:41,832 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects1910
2020-03-26 13:47:41,832 [INFO] [NoneStorage] - performing GET at /cf4/myobjects2640
2020-03-26 13:47:41,844 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1694
2020-03-26 13:47:41,862 [WARN] [AbstractOperator] - listerrr: cf4/myobjects2343
2020-03-26 13:47:41,862 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects2343
2020-03-26 13:47:41,862 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects2822
2020-03-26 13:47:41,879 [INFO] [NoneStorage] - performing GET at /cf3/myobjects338
2020-03-26 13:47:41,881 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4422
2020-03-26 13:47:41,902 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects5509
2020-03-26 13:47:41,938 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5689
