Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
13:34:34,186,11904000,26.85,26.33,37.07,2372732.71,100%,0,0,0
13:34:39,164,10496000,30.42,30.16,32.78,2097941.24,100%,1,1,1
13:34:44,170,10880000,29.49,29.06,33.83,2165174.13,100%,2,2,2
13:34:49,163,10432000,30.57,29.98,32.55,2083483.12,100%,3,3,3
13:34:54,178,11392000,28.01,27.26,35.49,2271585.24,100%,4,4,4
13:34:59,100,6400000,49.93,49.12,19.96,1277190.18,100%,5,5,5
13:35:04,173,11072000,28.86,28.3,34.46,2205138.42,100%,6,6,6
13:35:09,151,9664000,33.18,32.53,30.01,1920508.74,100%,7,7,7
13:35:14,121,7744000,41.31,40.49,24.08,1541401.27,100%,8,8,8
13:35:19,173,11072000,28.74,27.66,34.48,2206456.76,100%,9,9,9
13:35:24,139,8896000,35.96,35.57,27.72,1773878.36,100%,10,10,10
13:35:29,118,7552000,42.34,41.48,23.44,1500198.65,100%,11,11,11
13:35:34,166,10624000,30.04,29.13,33.06,2115913.16,100%,12,12,12
13:35:39,0,0,N/A,N/A,0,0,N/A,13,13,13
13:35:44,172,11008000,29.03,28.23,68.44,4380421.81,100%,14,14,14
13:35:49,153,9792000,32.71,32.28,30.5,1952153.11,100%,15,15,15
13:35:54,150,9600000,33.22,32.37,29.93,1915785.27,100%,16,16,16
13:35:59,165,10560000,30.15,29.18,32.96,2109468.64,100%,17,17,17
13:36:04,141,9024000,35.21,34.31,28.2,1804800,100%,18,18,18
13:36:09,140,8960000,35.76,35.44,27.89,1785216.18,100%,19,19,19
13:36:14,155,9920000,32.18,31.43,30.87,1975702.05,100%,20,20,20
13:36:19,169,10816000,29.47,28.83,33.77,2161038.96,100%,21,21,21
13:36:24,163,10432000,30.58,29.56,32.42,2074781.23,100%,22,22,22
13:36:29,170,10880000,29.39,29.05,33.93,2171223.31,100%,23,23,23
13:36:34,124,7936000,40.25,39.44,24.75,1583715.83,100%,24,24,24
13:36:39,143,9152000,34.76,33.87,28.59,1829668.13,100%,25,25,25
13:36:44,143,9152000,34.88,33.93,28.46,1821656.05,100%,26,26,26
13:36:49,145,9280000,34.77,34.47,28.69,1836169.37,100%,27,27,27
13:36:54,136,8704000,36.59,35.65,27.18,1739756.15,100%,28,28,28
13:36:59,142,9088000,35.18,34.21,28.25,1808197.37,100%,29,29,29
13:37:04,161,10304000,30.89,29.88,32.14,2057097.22,100%,30,30,30
13:37:09,160,10240000,31.25,30.87,31.92,2043096.57,100%,31,31,31
13:37:14,143,9152000,34.87,33.86,28.49,1823107.57,100%,32,32,32
13:37:19,162,10368000,30.69,29.66,32.32,2068635.28,100%,33,33,33
13:37:24,155,9920000,32.02,30.94,30.99,1983603.28,100%,34,34,34
13:37:29,176,11264000,28.35,27.97,35.19,2252349.53,100%,35,35,35
13:37:34,113,7232000,44.13,43.21,22.55,1443512.97,100%,36,36,36
13:37:39,161,10304000,30.98,30,32.07,2052589.64,100%,37,37,37
13:37:44,177,11328000,28.03,27.01,35.39,2265146.97,100%,38,38,38
13:37:49,149,9536000,33.56,33.11,29.73,1902633.68,100%,39,39,39
13:37:54,127,8128000,40.39,39.4,24.62,1575499.13,100%,40,40,40
13:37:59,93,5952000,53.66,52.74,18.51,1184477.61,100%,41,41,41
13:38:04,143,9152000,34.78,33.78,28.59,1829668.13,100%,42,42,42
13:38:09,176,11264000,28.52,28.01,34.98,2238918.7,100%,43,43,43
13:38:14,176,11264000,28.27,27.38,35.16,2250099.88,100%,44,44,44
13:38:19,175,11200000,28.52,27.62,34.82,2228412.26,100%,45,45,45
13:38:24,154,9856000,32.35,31.37,30.67,1962955.59,100%,46,46,46
13:38:29,167,10688000,31.14,30.77,32.04,2050652.34,100%,47,47,47
13:38:34,70,4480000,71.39,70.37,13.97,894033.13,100%,48,48,48
13:38:39,142,9088000,35.13,34.13,28.32,1812163.51,100%,49,49,49
13:38:44,160,10240000,31.13,30.11,31.87,2039840.64,100%,50,50,50
13:38:49,163,10432000,30.68,30.25,32.5,2079744.82,100%,51,51,51
13:38:54,173,11072000,28.71,27.79,34.57,2212629.9,100%,52,52,52
13:38:59,167,10688000,29.89,28.9,33.22,2126118.96,100%,53,53,53
13:39:04,173,11072000,28.77,27.8,34.57,2212187.81,100%,54,54,54
13:39:09,181,11584000,27.54,27.18,36.2,2316800,100%,55,55,55
13:39:14,181,11584000,27.48,26.49,36.16,2314023.17,100%,56,56,56
13:39:19,132,8448000,37.8,36.83,26.32,1684210.53,100%,57,57,57
13:39:24,137,8768000,36.45,35.4,27.31,1748006.38,100%,58,58,58
13:39:29,141,9024000,35.38,34.99,28.19,1804078.37,100%,59,59,59
13:39:34,163,10432000,30.58,29.72,32.47,2078087.65,100%,60,60,60
13:39:39,161,10304000,30.99,30.08,32.03,2050139.28,100%,61,61,61
