================================================== stage: s1-init ==================================================
---------------------------------- mission: MA2A32B459B, driver: driver1 ----------------------------------
2019-07-25 13:34:22,007 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/MA2A32B459B.log
2019-07-25 13:34:22,224 [INFO] [NoneStorage] - performing PUT at /cf1
2019-07-25 13:34:22,288 [INFO] [NoneStorage] - performing PUT at /cf2
2019-07-25 13:34:22,333 [INFO] [NoneStorage] - performing PUT at /cf3
2019-07-25 13:34:22,397 [INFO] [NoneStorage] - performing PUT at /cf4
2019-07-25 13:34:22,444 [INFO] [NoneStorage] - performing PUT at /cf5
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: MF2A32C9D61, driver: driver1 ----------------------------------
2019-07-25 13:34:27,004 [INFO] [Log4jLogManager] - will append log to file /home/jharriga/Desktop/SDC2019/0.4.2.c4/log/mission/MF2A32C9D61.log
2019-07-25 13:34:27,212 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1
2019-07-25 13:34:27,255 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects2
2019-07-25 13:34:27,283 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects3
2019-07-25 13:34:27,309 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects4
2019-07-25 13:34:27,337 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects5
2019-07-25 13:34:27,366 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects6
2019-07-25 13:34:27,392 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects7
2019-07-25 13:34:27,416 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects8
2019-07-25 13:34:27,440 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects9
2019-07-25 13:34:27,469 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects10
2019-07-25 13:34:27,495 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects11
2019-07-25 13:34:27,518 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects12
2019-07-25 13:34:27,540 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects13
2019-07-25 13:34:27,564 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects14
2019-07-25 13:34:27,589 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects15
2019-07-25 13:34:27,613 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects16
2019-07-25 13:34:27,637 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects17
2019-07-25 13:34:27,662 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects18
2019-07-25 13:34:27,688 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects19
2019-07-25 13:34:27,711 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects20
2019-07-25 13:34:27,739 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects21
2019-07-25 13:34:27,760 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects22
2019-07-25 13:34:27,784 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects23
2019-07-25 13:34:27,807 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects24
2019-07-25 13:34:27,831 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects25
2019-07-25 13:34:27,867 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects26
2019-07-25 13:34:27,891 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects27
2019-07-25 13:34:27,914 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects28
2019-07-25 13:34:27,937 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects29
2019-07-25 13:34:27,961 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects30
2019-07-25 13:34:27,984 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects31
2019-07-25 13:34:28,010 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects32
2019-07-25 13:34:28,032 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects33
2019-07-25 13:34:28,055 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects34
2019-07-25 13:34:28,081 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects35
2019-07-25 13:34:28,102 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects36
2019-07-25 13:34:28,124 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects37
2019-07-25 13:34:28,146 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects38
2019-07-25 13:34:28,169 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects39
2019-07-25 13:34:28,192 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects40
2019-07-25 13:34:28,214 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects41
2019-07-25 13:34:28,240 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects42
2019-07-25 13:34:28,263 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects43
2019-07-25 13:34:28,291 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects44
2019-07-25 13:34:28,314 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects45
2019-07-25 13:34:28,337 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects46
2019-07-25 13:34:28,360 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects47
2019-07-25 13:34:28,393 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects48
2019-07-25 13:34:28,427 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects49
2019-07-25 13:34:28,458 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects50
2019-07-25 13:34:28,495 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects51
2019-07-25 13:34:28,525 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects52
2019-07-25 13:34:28,565 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects53
2019-07-25 13:34:28,598 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects54
2019-07-25 13:34:28,625 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects55
2019-07-25 13:34:28,658 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects56
2019-07-25 13:34:28,688 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects57
2019-07-25 13:34:28,726 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects58
2019-07-25 13:34:28,760 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects59
2019-07-25 13:34:28,792 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects60
2019-07-25 13:34:28,842 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects61
2019-07-25 13:34:28,871 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects62
2019-07-25 13:34:28,905 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects63
2019-07-25 13:34:28,937 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects64
2019-07-25 13:34:28,970 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects65
2019-07-25 13:34:29,006 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects66
2019-07-25 13:34:29,038 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects67
2019-07-25 13:34:29,069 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects68
2019-07-25 13:34:29,099 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects69
2019-07-25 13:34:29,127 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects70
2019-07-25 13:34:29,149 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects71
2019-07-25 13:34:29,172 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects72
2019-07-25 13:34:29,196 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects73
2019-07-25 13:34:29,219 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects74
2019-07-25 13:34:29,241 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects75
2019-07-25 13:34:29,263 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects76
2019-07-25 13:34:29,288 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects77
2019-07-25 13:34:29,312 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects78
2019-07-25 13:34:29,334 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects79
2019-07-25 13:34:29,355 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects80
2019-07-25 13:34:29,378 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects81
2019-07-25 13:34:29,403 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects82
2019-07-25 13:34:29,430 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects83
2019-07-25 13:34:29,454 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects84
2019-07-25 13:34:29,484 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects85
2019-07-25 13:34:29,508 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects86
2019-07-25 13:34:29,542 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects87
2019-07-25 13:34:29,566 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects88
2019-07-25 13:34:29,605 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects89
2019-07-25 13:34:29,628 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects90
2019-07-25 13:34:29,655 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects91
2019-07-25 13:34:29,681 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects92
2019-07-25 13:34:29,705 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects93
2019-07-25 13:34:29,731 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects94
2019-07-25 13:34:29,758 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects95
2019-07-25 13:34:29,785 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects96
2019-07-25 13:34:29,810 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects97
2019-07-25 13:34:29,836 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects98
2019-07-25 13:34:29,859 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects99
2019-07-25 13:34:29,882 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects100
2019-07-25 13:34:29,908 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects101
2019-07-25 13:34:29,934 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects102
2019-07-25 13:34:29,959 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects103
2019-07-25 13:34:29,986 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects104
2019-07-25 13:34:30,010 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects105
2019-07-25 13:34:30,035 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects106
2019-07-25 13:34:30,060 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects107
2019-07-25 13:34:30,086 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects108
2019-07-25 13:34:30,110 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects109
2019-07-25 13:34:30,135 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects110
2019-07-25 13:34:30,160 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects111
2019-07-25 13:34:30,185 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects112
2019-07-25 13:34:30,210 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects113
2019-07-25 13:34:30,235 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects114
2019-07-25 13:34:30,257 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects115
2019-07-25 13:34:30,283 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects116
2019-07-25 13:34:30,309 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects117
2019-07-25 13:34:30,334 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects118
2019-07-25 13:34:30,360 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects119
2019-07-25 13:34:30,386 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects120
2019-07-25 13:34:30,411 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects121
2019-07-25 13:34:30,437 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects122
2019-07-25 13:34:30,460 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects123
2019-07-25 13:34:30,484 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects124
2019-07-25 13:34:30,508 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects125
2019-07-25 13:34:30,532 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects126
2019-07-25 13:34:30,559 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects127
2019-07-25 13:34:30,585 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects128
2019-07-25 13:34:30,613 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects129
2019-07-25 13:34:30,639 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects130
2019-07-25 13:34:30,667 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects131
2019-07-25 13:34:30,704 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects132
2019-07-25 13:34:30,725 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects133
2019-07-25 13:34:30,748 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects134
2019-07-25 13:34:30,772 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects135
2019-07-25 13:34:30,796 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects136
2019-07-25 13:34:30,820 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects137
2019-07-25 13:34:30,846 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects138
2019-07-25 13:34:30,873 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects139
2019-07-25 13:34:30,898 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects140
2019-07-25 13:34:30,924 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects141
2019-07-25 13:34:30,949 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects142
2019-07-25 13:34:30,975 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects143
2019-07-25 13:34:31,000 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects144
2019-07-25 13:34:31,026 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects145
2019-07-25 13:34:31,051 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects146
2019-07-25 13:34:31,075 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects147
2019-07-25 13:34:31,096 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects148
2019-07-25 13:34:31,120 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects149
2019-07-25 13:34:31,143 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects150
2019-07-25 13:34:31,170 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects151
2019-07-25 13:34:31,193 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects152
