Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w1-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w2-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w2-s2-preparing_cluster-1,prepare-write,724599,37928848396000,35,1854.03,133.12,20,410,2450,2720,38070,64180,18.71,979245509.84,99.95%,100% containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w3-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w3-s2-preparing_cluster-1,prepare-write,724624,37759012595000,35,1842.4,133.53,20,420,2450,2730,38030,57600,18.84,981441216.08,99.95%,100% containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w4-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w4-s2-preparing_cluster-1,prepare-write,15000,842843092000,28,621.76,72.08,20,310,890,1040,11640,14650,45.33,2514498335.12,100%,100% containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w5-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w5-s2-preparing_cluster-1,prepare-write,15000,782777454000,20,415.74,52.93,20,220,630,700,8240,8690,48.63,2494046506.78,100%,100% containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-3000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w6-s1-init_containers-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w6-s2-preparing_cluster-1,prepare-write,969985,51403953938000,20,454,56.43,20,220,640,710,8400,13830,44.04,2333495351.28,100%,100% containers=r(1-5) objects=r(1-194000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-194000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-194000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-194000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-194000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-194000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-194000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w7-s1-MAIN-1,read,83545,4425280155000,63,1924.19,52.01,80,470,2380,3110,38060,51090,23.32,1235223221.25,66.92%,60% containers=u(3-5) objects=u(1-290000)
w7-s1-MAIN-2,list,13805,0,63,7.61,7.61,10,10,10,20,50,140,3.85,0,66.82%,10% containers=u(3-5) objects=u(1-290000)
w7-s1-MAIN-3,write,32943,1777174696000,63,1940.05,114.49,70,470,2380,3090,38080,50890,9.19,495949350.06,100%,16% containers=u(1-2) objects=u(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w7-s1-MAIN-4,delete,28948,0,63,19.42,19.42,20,40,50,60,100,850,8.08,0,100%,14% containers=u(1-2) objects=u(1-290000)
w8-s1-MAIN-1,read,1024412,54108071000000,63,1897.02,53.23,80,490,2320,3170,37260,53790,23.72,1252965007.24,66.88%,60% containers=u(3-5) objects=u(1-290000)
w8-s1-MAIN-2,list,170777,0,63,7.96,7.96,10,10,10,30,50,2290,3.95,0,66.9%,10% containers=u(3-5) objects=u(1-290000)
w8-s1-MAIN-3,write,408651,21548737714000,63,1869,119.79,70,480,2310,3130,36940,53570,9.46,498997725.09,100%,16% containers=u(1-2) objects=u(1-580000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w8-s1-MAIN-4,delete,357123,0,63,16.74,16.74,20,30,40,60,110,10080,8.27,0,100%,14% containers=u(1-2) objects=u(1-580000)
w9-s1-MAIN-1,read,83329,4302045604000,63,1953.2,54.19,80,490,2440,3170,41850,50920,23.23,1199302259.42,66.8%,60% containers=u(3-5) objects=u(1-290000)
w9-s1-MAIN-2,list,14006,0,63,8.13,8.13,10,10,20,30,50,210,3.9,0,66.88%,10% containers=u(3-5) objects=u(1-290000)
w9-s1-MAIN-3,write,33317,1661610218000,63,1862.34,127.9,90,490,2420,3130,41230,50680,9.29,463217563.79,100%,16% containers=u(1-2) objects=u(1-290000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
