Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,8890,182523964000,495.98,405.78,1.85,38010099.15,100%
delete,delete,6010,0,65.22,65.22,1.25,0,100%
write,write,8868,183766284000,499.01,407.61,1.85,38271590.29,100%
delete,delete,5824,0,64.5,64.5,1.21,0,100%
write,write,8819,185006336000,502.62,409.74,1.84,38530327.85,100%
delete,delete,5833,0,63.12,63.12,1.21,0,100%
write,write,8834,183434828000,498.7,407.28,1.84,38205409.02,100%
delete,delete,6001,0,65.83,65.83,1.25,0,100%
write,write,8964,181932492000,493.18,403.94,1.87,37887802.58,100%
delete,delete,6014,0,63.23,63.23,1.25,0,100%
write,write,8879,186844652000,496.83,404.86,1.85,38913605.99,100%
delete,delete,5888,0,66.15,66.15,1.23,0,100%
write,write,8830,186513736000,500,406.86,1.84,38840852.74,100%
delete,delete,6015,0,64.22,64.22,1.25,0,100%
write,write,8820,189331452000,502.9,407.92,1.84,39434645.69,100%
delete,delete,5799,0,62.91,62.91,1.21,0,100%
write,write,8826,185079156000,501.35,408.55,1.84,38545028.1,100%
delete,delete,5987,0,62.8,62.8,1.25,0,100%
write,write,8721,189920364000,507.46,412.42,1.82,39553360.28,100%
delete,delete,5820,0,64.48,64.48,1.21,0,100%
write,write,8873,184090904000,498.41,407.97,1.85,38338006.73,100%
delete,delete,6033,0,62.75,62.75,1.26,0,100%
write,write,8814,185796180000,501.6,409.04,1.84,38691746.43,100%
delete,delete,5829,0,65.2,65.2,1.21,0,100%
write,write,8853,185602800000,500.26,408.59,1.84,38651507.56,100%
delete,delete,5944,0,62.64,62.64,1.24,0,100%
write,write,8841,184096056000,499.83,407.59,1.84,38338688.44,100%
delete,delete,5876,0,65.03,65.03,1.22,0,100%
write,write,8921,184222640000,497.51,405.64,1.86,38367998.44,100%
delete,delete,5967,0,60.74,60.74,1.24,0,100%
write,write,8777,185203184000,504.01,409.39,1.83,38569693.74,100%
delete,delete,5920,0,63.73,63.73,1.23,0,100%
write,write,8933,187177868000,498.75,407.19,1.86,38979651.13,100%
delete,delete,5896,0,58.63,58.63,1.23,0,100%
write,write,8878,188222200000,503.64,409.95,1.85,39197777.36,100%
delete,delete,5797,0,56.86,56.86,1.21,0,100%
write,write,8795,188283380000,505.3,410.96,1.83,39210322.28,100%
delete,delete,6014,0,59.32,59.32,1.25,0,100%
write,write,8971,184228180000,496.77,406.51,1.87,38366107.87,100%
delete,delete,5978,0,57.61,57.61,1.24,0,100%
write,write,8871,189532812000,501.45,407.65,1.85,39470288.39,100%
delete,delete,5892,0,59.86,59.86,1.23,0,100%
write,write,8856,185014404000,502.62,409.29,1.84,38531823.56,100%
delete,delete,6039,0,57.87,57.87,1.26,0,100%
write,write,8846,187824620000,504.29,410.62,1.84,39119876.5,100%
delete,delete,5759,0,58.94,58.94,1.2,0,100%
write,write,8890,187895308000,500.18,406.69,1.85,39133344.11,100%
delete,delete,6004,0,58.94,58.94,1.25,0,100%
write,write,8817,182850792000,499.22,408.26,1.84,38078612.16,100%
delete,delete,5931,0,67.37,67.37,1.24,0,100%
write,write,8926,182724124000,492.61,405.14,1.86,38051995.86,100%
delete,delete,5991,0,67.46,67.46,1.25,0,100%
write,write,8869,182130088000,496.53,406.19,1.85,37928067.69,100%
delete,delete,6074,0,65.45,65.45,1.26,0,100%
write,write,8771,186911252000,500.42,407.49,1.83,38926001.11,100%
delete,delete,5950,0,69.2,69.2,1.24,0,100%
write,write,8818,183370252000,500.6,409.65,1.84,38188093.75,100%
delete,delete,5867,0,65.92,65.92,1.22,0,100%
write,write,8789,186712928000,503.29,411.28,1.83,38883807.53,100%
delete,delete,5806,0,65.04,65.04,1.21,0,100%
write,write,8815,183959848000,500.11,409.04,1.84,38310290.7,100%
delete,delete,5881,0,66.76,66.76,1.22,0,100%
write,write,8853,184617180000,498.49,407.52,1.84,38449384.41,100%
delete,delete,5877,0,65.97,65.97,1.22,0,100%
write,write,8845,184028860000,500.34,407.61,1.84,38323641.12,100%
delete,delete,5854,0,64.18,64.18,1.22,0,100%
write,write,8882,185014508000,499.29,407.31,1.85,38529638.53,100%
delete,delete,6025,0,60.82,60.82,1.25,0,100%
write,write,8907,187374000000,499.7,406.86,1.85,39022145.12,100%
