Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,write,delete,write,delete,write,delete,write,delete,write,delete,write,delete,write,delete,Min-Version,Version,Max-Version
21:49:30,741,457,12666480000,0,459.32,92.94,382.79,92.94,145.19,89.49,2479845344.43,0,100%,100%,0,0,0
21:49:35,1341,824,29651208000,0,508.52,71.55,411.98,71.55,247.83,152.46,5470421170.84,0,100%,100%,1,1,1
21:49:40,1617,1118,35753388000,0,527.86,71.92,435.75,71.92,395.4,274.52,8809367536.79,0,100%,100%,2,2,2
21:49:45,1874,1243,37793108000,0,494.93,62.26,410.76,62.26,384.11,255.87,7545094567.46,0,100%,100%,3,3,3
21:49:50,1851,1346,36087984000,0,498.7,70.08,423.01,70.08,354.32,258.85,6907083317.93,0,100%,100%,4,4,4
21:49:55,1760,1253,36280496000,0,514.89,84.86,432.28,84.86,334.13,237.48,6859116185.92,0,100%,100%,5,5,5
21:50:00,1917,1299,40674828000,0,502.75,46.71,408.35,46.71,359.83,243.3,7606029818.46,0,100%,100%,6,6,6
21:50:05,1961,1302,41855840000,0,487.08,51.4,387.45,51.4,368.84,245.05,7844090897.16,0,100%,100%,7,7,7
21:50:10,1874,1267,39233492000,0,490.6,78.87,405.14,78.87,353.23,238.94,7377658876.76,0,100%,100%,8,8,8
21:50:15,1830,1165,40279368000,0,505.43,73.02,412.37,73.02,346,221.46,7596708901.78,0,100%,100%,9,9,9
21:50:20,2009,1317,41331476000,0,471.14,55.55,371.08,55.55,380.31,249.46,7831696951.01,0,100%,100%,10,10,10
21:50:25,1918,1308,42446536000,0,489.36,47.95,378.39,47.95,364.44,248.08,8032116881.5,0,100%,100%,11,11,11
21:50:30,1889,1228,40479140000,0,491.05,66.49,394.28,66.49,360.63,234.53,7644653823.54,0,100%,100%,12,12,12
21:50:35,1845,1255,39822504000,0,483.71,67.32,382.76,67.32,352.51,241.13,7634052844.67,0,100%,100%,13,13,13
21:50:40,1854,1238,39034596000,0,482.46,58.96,387.13,58.96,362.65,241.94,7578313823.61,0,100%,100%,14,14,14
21:50:45,1746,1083,35887728000,0,488.97,50.38,399.07,50.38,350.11,218.37,7180011049.01,0,100%,100%,15,15,15
21:50:50,1668,1130,35296428000,0,501.81,66.5,408.97,66.5,348.24,234.55,7414376054.95,0,100%,100%,16,16,16
21:50:55,1705,1034,36672748000,0,498.86,53.42,402.03,53.42,359.7,218.51,7809870493.51,0,100%,100%,17,17,17
21:51:00,1622,1103,34833920000,0,491.63,62.87,396.3,62.87,347.13,234.1,7444065646.51,0,100%,100%,18,18,18
21:51:05,1633,1181,33329548000,0,484.91,70.28,395.39,70.28,360.18,261,7301504877.46,0,100%,100%,19,19,19
21:51:10,1761,1166,38967852000,0,489.35,56.1,386.81,56.1,382.38,254.13,8359925659.97,0,100%,100%,20,20,20
21:51:15,1775,1154,38313488000,0,491.85,72.18,393.53,72.18,365.9,238.61,7887000930.88,0,100%,100%,21,21,21
21:51:20,1928,1343,41528708000,0,472.21,49.94,366.76,49.94,391.12,272.79,8297299974.56,0,100%,100%,22,22,22
21:51:25,1992,1393,41071740000,0,466.1,36.82,360.61,36.82,389.92,275.1,8112687583.32,0,100%,100%,23,23,23
21:51:30,1935,1273,40807764000,0,480.06,61.25,381.06,61.25,380.17,248.66,8056991359.54,0,100%,100%,24,24,24
21:51:35,1812,1249,37724988000,0,491.05,78.01,398.72,78.01,346.73,238.96,7217985335.56,0,100%,100%,25,25,25
21:51:40,1905,1235,41527656000,0,493.35,59.84,392.1,59.84,364.28,233.81,7991906208.13,0,100%,100%,26,26,26
21:51:45,1945,1341,40807084000,0,476.3,59.88,376.08,59.88,372.01,257.52,7848607149.35,0,100%,100%,27,27,27
21:51:50,1916,1244,38056064000,0,467.11,55.96,375.6,55.96,364.86,239.4,7277923967.06,0,100%,100%,28,28,28
21:51:55,1939,1265,42053068000,0,482.63,51.51,378.29,51.51,384.56,248.54,8352944521.51,0,100%,100%,29,29,29
21:52:00,1924,1240,39037336000,0,465.2,57.1,372.81,57.1,374.21,242.08,7557259851.63,0,100%,100%,30,30,30
21:52:05,1842,1131,38772720000,0,473.72,40.4,367.36,40.4,362.79,222.21,7605005482.98,0,100%,100%,31,31,31
21:52:10,1904,1350,41657276000,0,476.51,34.65,356.21,34.65,394.92,281.72,8685534391.29,0,100%,100%,32,32,32
21:52:15,1809,1229,40409628000,0,491.94,40.36,381.42,40.36,367.29,251.39,8307706357.59,0,100%,100%,33,33,33
21:52:20,1804,1165,37723216000,0,475.55,36.54,376.77,36.54,367.39,238.28,7707497773.03,0,100%,100%,34,34,34
21:52:25,1867,1276,40675708000,0,481.86,40.16,375.34,40.16,391.6,267.8,8653616389.29,0,100%,100%,35,35,35
21:52:30,1796,1197,38116676000,0,491.12,63.1,396.19,63.1,367.14,248.79,7624822837.86,0,100%,100%,36,36,36
21:52:35,1857,1303,38905824000,0,471.99,50.99,376.39,50.99,370.83,261.69,7869501456.66,0,100%,100%,37,37,37
21:52:40,1993,1308,42512308000,0,456.87,32.79,341.11,32.79,403.22,264.1,8555980064.09,0,100%,100%,38,38,38
21:52:45,1923,1219,40805976000,0,471.41,47.15,363.72,47.15,388.26,246.07,8238875350.44,0,100%,100%,39,39,39
21:52:50,1840,1173,39688120000,0,500.19,39.79,399.14,39.79,368.22,233.41,7907426027.77,0,100%,100%,40,40,40
21:52:55,1762,1157,37592164000,0,497.59,87.51,407.03,87.51,352.46,230.68,7498042468.86,0,100%,100%,41,41,41
21:53:00,1815,1225,35693148000,0,488.86,71.54,411.7,71.54,354.36,239.15,6998929318.49,0,100%,100%,42,42,42
21:53:05,1843,1264,38313760000,0,489.05,65.95,393.56,65.95,361.49,247.99,7478380535.51,0,100%,100%,43,43,43
21:53:10,1824,1141,38706036000,0,506.9,48.5,412.52,48.5,353.65,222.8,7572469630.24,0,100%,100%,44,44,44
21:53:15,1752,1180,37854732000,0,524.72,61.28,433.08,61.28,346.28,234.98,7523564464.35,0,100%,100%,45,45,45
21:53:20,1780,1234,37658548000,0,498.46,55.98,408,55.98,345.42,239.38,7334883998.56,0,100%,100%,46,46,46
21:53:25,1777,1163,36545632000,0,491.43,72.26,402.52,72.26,356.28,235.63,7385698635.73,0,100%,100%,47,47,47
21:53:30,1603,1045,34114132000,0,510.86,95.63,426.96,95.63,320.64,208.1,6828830422.47,0,100%,100%,48,48,48
21:53:35,1624,1141,34638772000,0,522.99,85.89,437.34,85.89,333.96,236.69,7181392178.27,0,100%,100%,49,49,49
21:53:40,1695,1136,36017268000,0,513.52,91.18,430.04,91.18,345.79,233.75,7291204592.45,0,100%,100%,50,50,50
21:53:45,1667,1051,34312304000,0,493.21,83.69,402.37,83.69,328.02,207.7,6781076824.91,0,100%,100%,51,51,51
21:53:50,1902,1313,41328888000,0,467.7,48.74,353.19,48.74,391.79,271.57,8612202538.04,0,100%,100%,52,52,52
21:53:55,2026,1399,43364476000,0,463.68,37.18,353.93,37.18,408.06,280.04,8796574651.69,0,100%,100%,53,53,53
21:54:00,1857,1236,39627336000,0,488.93,46.16,387.9,46.16,363.14,240.82,7732068248,0,100%,100%,54,54,54
21:54:05,1958,1263,43166888000,0,471.34,37.19,349.71,37.19,384.35,249.3,8580353553.64,0,100%,100%,55,55,55
21:54:10,1945,1313,42314620000,0,457.32,28.56,328.38,28.56,384.8,260.96,8333373242.3,0,100%,100%,56,56,56
21:54:15,2010,1293,43038312000,0,469.43,23.01,352.83,23.01,418.03,265.82,8878365081.31,0,100%,100%,57,57,57
21:54:20,2025,1358,41663820000,0,454.2,28.46,350.54,28.46,406.65,273.85,8300001773.19,0,100%,100%,58,58,58
21:54:25,1932,1349,37925784000,0,459.69,55.8,368.63,55.8,387.28,272.02,7595481239.65,0,100%,100%,59,59,59
21:54:30,1858,1201,39626320000,0,484.79,67.84,392.6,67.84,367.22,236.26,7839758511.45,0,100%,100%,60,60,60
21:54:35,1834,1199,38969884000,0,484.77,68.61,394.43,68.61,361.29,234.73,7558407286.07,0,100%,100%,61,61,61
21:54:40,1918,1295,40676272000,0,470,47.21,370.34,47.21,377.04,251.27,7953769094.25,0,100%,100%,62,62,62
21:54:45,1946,1276,40021844000,0,466.04,50.52,360.3,50.52,389.53,255.31,8054424482.71,0,100%,100%,63,63,63
21:54:50,1834,1182,39034456000,0,482.42,52.61,384.19,52.61,362.13,233.37,7791639407.45,0,100%,100%,64,64,64
21:54:55,1792,1276,40082620000,0,497.24,75.1,395.74,75.1,364.87,259.41,8129629516.01,0,100%,100%,65,65,65
21:55:00,1813,1139,37593208000,0,490.3,65.79,402.29,65.79,352.22,220.01,7289247784.92,0,100%,100%,66,66,66
21:55:05,1766,1186,36347192000,0,485.09,63.01,396.05,63.01,350.75,237.34,7257455428.86,0,100%,100%,67,67,67
21:55:10,1813,1206,38445904000,0,489.41,45.38,391.78,45.38,374.15,250.86,7935834259.71,0,100%,100%,68,68,68
21:55:15,1710,1183,35953056000,0,494.13,79.73,406.91,79.73,350.42,242.75,7438753021.87,0,100%,100%,69,69,69
21:55:20,1771,1192,39097276000,0,501.74,82.67,407.87,82.67,360.67,240.49,7950542461.12,0,100%,100%,70,70,70
21:55:25,1753,1199,35889016000,0,490.09,76.44,401.66,76.44,341.21,233.14,6980934278.2,0,100%,100%,71,71,71
21:55:30,1853,1249,38579108000,0,482.83,69.61,391.95,69.61,375.47,249.08,7837766065.17,0,100%,100%,72,72,72
21:55:35,1858,1207,39624460000,0,482.99,40.75,374.06,40.75,363.63,234.88,7732064677.25,0,100%,100%,73,73,73
21:55:40,1818,1180,38773584000,0,503.52,35.77,405.81,35.77,369.98,239.66,7938558890.02,0,100%,100%,74,74,74
21:55:45,1827,1208,38380848000,0,491.94,60.69,399.48,60.69,362.63,242,7744477220.15,0,100%,100%,75,75,75
21:55:50,1757,1122,38574764000,0,494.32,69.86,396.58,69.86,345.46,219.18,7507861138.99,0,100%,100%,76,76,76
21:55:55,1911,1304,36876108000,0,468.62,50.85,385.21,50.85,390.63,269.75,7531902626.07,0,100%,100%,77,77,77
21:56:00,1808,1274,39097904000,0,482.49,61.44,380.41,61.44,359.39,249.45,7784316530.91,0,100%,100%,78,78,78
21:56:05,1903,1201,38578408000,0,480.92,47.13,386.95,47.13,384.19,241.02,7920421018.06,0,100%,100%,79,79,79
21:56:10,1881,1275,39167688000,0,481.77,55.61,391.81,55.61,369.64,248.92,7667061130.56,0,100%,100%,80,80,80
21:56:15,1768,1244,36607888000,0,481.62,67.83,393.84,67.83,348.78,247.84,7148578416.88,0,100%,100%,81,81,81
21:56:20,1965,1333,39367260000,0,450.25,53.42,356.91,53.42,401.78,270.23,8085891636.78,0,100%,100%,82,82,82
21:56:25,1904,1213,39232712000,0,474.21,43.64,380.8,43.64,382.94,246.01,7807473178.77,0,100%,100%,83,83,83
21:56:30,1929,1172,40086768000,0,475.12,51.49,372.27,51.49,383.65,234.15,7995365685.7,0,100%,100%,84,84,84
21:56:35,1869,1277,38119068000,0,478.21,69.23,391.12,69.23,371.67,254.96,7559765248.54,0,100%,100%,85,85,85
21:56:40,1814,1207,39361616000,0,484.92,70.91,385.58,70.91,352.78,234.68,7723090240.37,0,100%,100%,86,86,86
21:56:45,1841,1230,40016264000,0,482.04,72.7,380.54,72.7,367.91,243.76,7930749584.65,0,100%,100%,87,87,87
21:56:50,1854,1266,39167100000,0,489.72,48.7,394.18,48.7,364.09,249.63,7710759615.64,0,100%,100%,88,88,88
21:56:55,1854,1247,38577192000,0,482.96,34.65,386.69,34.65,366.89,248.68,7633563289.7,0,100%,100%,89,89,89
21:57:00,1746,1161,39294132000,0,502.13,47.11,393.67,47.11,354.11,240.23,8027473269.31,0,100%,100%,90,90,90
21:57:05,1933,1288,39955180000,0,462.01,48.28,361.52,48.28,396.09,262.28,8153498510.09,0,100%,100%,91,91,91
21:57:10,1911,1265,40019424000,0,484,38.82,382.84,38.82,385.65,257.7,7992341684.75,0,100%,100%,92,92,92
21:57:15,1910,1280,40478924000,0,472.46,36.76,364.54,36.76,377.93,251.83,8021986095.95,0,100%,100%,93,93,93
21:57:20,1892,1223,41790152000,0,480.46,29.17,363.59,29.17,380.72,244.57,8377565578.49,0,100%,100%,94,94,94
21:57:25,2005,1361,41527996000,0,448.68,21.59,335.3,21.59,408.54,279.39,8390996207.07,0,100%,100%,95,95,95
21:57:30,1965,1346,44474196000,0,475.27,25.21,341.76,25.21,402.69,275.31,8969673001.85,0,100%,100%,96,96,96
21:57:35,2074,1433,41531092000,0,443.15,31.24,339.72,31.24,420.02,288.67,8407830157.73,0,100%,100%,97,97,97
21:57:40,1980,1381,39693420000,0,449.55,47.02,348.63,47.02,394.72,275.16,7815789440.85,0,100%,100%,98,98,98
21:57:45,2017,1356,42839644000,0,455.91,36.21,345.5,36.21,405.62,272.25,8671389921.33,0,100%,100%,99,99,99
21:57:50,1963,1299,41463736000,0,459.8,48.6,351.16,48.6,389.51,256.49,8164596627.3,0,100%,100%,100,100,100
21:57:55,2013,1353,41920320000,0,458.05,44.5,354.19,44.5,399.05,268.13,8282980338.31,0,100%,100%,101,101,101
21:58:00,1913,1279,39169016000,0,459.98,48.87,354.34,48.87,376.61,251.74,7662548598.61,0,100%,100%,102,102,102
21:58:05,1974,1351,42709308000,0,474.38,35.26,360.02,35.26,402.49,273.45,8610323439.73,0,100%,100%,103,103,103
21:58:10,1937,1288,41199644000,0,476.37,40.24,368.97,40.24,381.49,253.79,8117887693.1,0,100%,100%,104,104,104
21:58:15,1843,1277,38904388000,0,485.22,57.16,390.72,57.16,362.72,250.08,7668916768.03,0,100%,100%,105,105,105
21:58:20,1805,1229,35825072000,0,484.86,73.66,405.38,73.66,358.1,242.62,7100882265.91,0,100%,100%,106,106,106
21:58:25,1864,1218,39755788000,0,485.15,60.66,388.47,60.66,370.77,241.26,7813189494.29,0,100%,100%,107,107,107
21:58:30,1799,1264,37592972000,0,479.55,61.47,387.81,61.47,354.57,254.44,7383784737.96,0,100%,100%,108,108,108
21:58:35,1736,1166,34905668000,0,485.73,69.27,403.89,69.27,354.17,235.6,7108107343.49,0,100%,100%,109,109,109
21:58:40,1760,1190,37000868000,0,500.65,73.68,409,73.68,364.18,244.46,7797836603.94,0,100%,100%,110,110,110
21:58:45,1718,1229,37327940000,0,495.81,97.28,402.94,97.28,341.02,244.57,7340872509.38,0,100%,100%,111,111,111
21:58:50,1739,1209,35493608000,0,494.36,78.83,411.53,78.83,345.25,238.35,7042829654.1,0,100%,100%,112,112,112
21:58:55,1644,1112,32739444000,0,522.86,68.19,439.86,68.19,328.39,223.06,6491425017,0,100%,100%,113,113,113
21:59:00,1686,1130,36082344000,0,524.54,62.26,433.93,62.26,346.12,232.54,7335838127.71,0,100%,100%,114,114,114
21:59:05,1865,1265,36939476000,0,475.41,62.04,391.86,62.04,377.86,256.27,7510642504.56,0,100%,100%,115,115,115
21:59:10,1802,1188,36806060000,0,508.92,64.61,426.87,64.61,354.45,235.87,7277481250.69,0,100%,100%,116,116,116
21:59:15,1689,1070,34247460000,0,507.34,87.37,427.76,87.37,328.57,209.95,6687728440.08,0,100%,100%,117,117,117
21:59:20,1789,1153,35954872000,0,475.86,83.48,391.97,83.48,360.36,236.37,7258894292.38,0,100%,100%,118,118,118
21:59:25,1795,1184,36739360000,0,484.5,80.24,399.36,80.24,363.15,242.68,7425797356.63,0,100%,100%,119,119,119
21:59:30,1838,1283,38117924000,0,490.29,64.12,401.17,64.12,365.28,252.9,7679321495.73,0,100%,100%,120,120,120
21:59:35,1886,1264,40938212000,0,482.83,63.68,383.16,63.68,366.62,248.49,7950653082.43,0,100%,100%,121,121,121
21:59:40,1820,1181,38575736000,0,461.45,60.32,354.8,60.32,354.25,228.6,7500380930,0,100%,100%,122,122,122
21:59:45,1997,1364,42771932000,0,454.39,39.22,342.44,39.22,414.77,285.3,8959814652.93,0,100%,100%,123,123,123
21:59:50,1929,1231,42642816000,0,467.48,30.4,344.38,30.4,386.11,247.51,8521060841.02,0,100%,100%,124,124,124
21:59:55,1990,1372,42185116000,0,457.11,26.98,344.87,26.98,409.13,286.54,8623127177.07,0,100%,100%,125,125,125
22:00:00,2057,1322,42317168000,0,459.43,31.94,348.75,31.94,411.07,262.89,8552521081.77,0,100%,100%,126,126,126
22:00:05,1855,1205,39952528000,0,468.67,48.08,360.27,48.08,366.11,238.9,7806939961.45,0,100%,100%,127,127,127
22:00:10,2048,1407,41008172000,0,439.52,44.05,340.42,44.05,419.56,292.31,8347422809.76,0,100%,100%,128,128,128
22:00:15,1916,1358,39430136000,0,455.59,58.74,352.94,58.74,385.84,271.8,7934361660.96,0,100%,100%,129,129,129
22:00:20,1986,1363,41006124000,0,447.28,51.82,347.14,51.82,399.78,275.35,8328222591.78,0,100%,100%,130,130,130
22:00:25,2076,1373,43170480000,0,453.17,34.78,343.58,34.78,413.22,273.27,8498091814.42,0,100%,100%,131,131,131
