Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,9286,194984308000,488.92,374.61,1.93,40606266.61,100%
delete,delete,6356,0,41.04,41.04,1.32,0,100%
write,write,9350,194855540000,484.64,369.87,1.95,40585814.64,100%
delete,delete,6289,0,42.74,42.74,1.31,0,100%
write,write,9415,193346704000,481.6,368.98,1.96,40268575.04,100%
delete,delete,6377,0,41.75,41.75,1.33,0,100%
write,write,9281,197931788000,489.72,372.97,1.93,41220511.81,100%
delete,delete,6275,0,40.76,40.76,1.31,0,100%
write,write,9370,196096828000,485.66,368.86,1.95,40836575.67,100%
delete,delete,6044,0,41.44,41.44,1.26,0,100%
write,write,9265,198779680000,490.14,372.86,1.93,41399771.9,100%
delete,delete,6246,0,41.53,41.53,1.3,0,100%
write,write,9258,200091372000,489.03,371.56,1.93,41679190.13,100%
delete,delete,6192,0,43.99,43.99,1.29,0,100%
write,write,9335,197480600000,487.09,371.52,1.94,41124973.27,100%
delete,delete,6197,0,40.99,40.99,1.29,0,100%
write,write,9444,193746672000,484,369.45,1.97,40347305.58,100%
delete,delete,6252,0,36.8,36.8,1.3,0,100%
write,write,9388,196888144000,486.95,371.34,1.96,41004020.47,100%
delete,delete,6199,0,36.97,36.97,1.29,0,100%
write,write,9305,198260384000,489.75,373.22,1.94,41287808.96,100%
delete,delete,6295,0,38.72,38.72,1.31,0,100%
write,write,9435,195640524000,482.64,368.18,1.96,40742340.79,100%
delete,delete,6265,0,39.46,39.46,1.3,0,100%
write,write,9390,194918952000,485.74,371.62,1.96,40594718.74,100%
delete,delete,6200,0,38.62,38.62,1.29,0,100%
write,write,9309,200614752000,489.67,370.54,1.94,41782692.66,100%
delete,delete,6372,0,37.99,37.99,1.33,0,100%
write,write,9308,199766432000,491.37,375.23,1.94,41605637.66,100%
delete,delete,6272,0,36.15,36.15,1.31,0,100%
write,write,9279,197601960000,491.75,373.27,1.93,41150649.03,100%
delete,delete,6155,0,38.67,38.67,1.28,0,100%
write,write,9428,198458072000,487.73,371.7,1.96,41332170.93,100%
delete,delete,6277,0,32.22,32.22,1.31,0,100%
write,write,9527,196886960000,482.87,369.56,1.98,41001067.06,100%
delete,delete,6347,0,31.61,31.61,1.32,0,100%
write,write,9383,200028320000,490.36,373.81,1.95,41656442.15,100%
delete,delete,6213,0,32.17,32.17,1.29,0,100%
write,write,9427,200422708000,486.69,370.42,1.96,41739391.61,100%
delete,delete,6374,0,33.39,33.39,1.33,0,100%
write,write,9458,198789872000,485.91,371.04,1.97,41403326.01,100%
delete,delete,6282,0,32.57,32.57,1.31,0,100%
write,write,9442,198528160000,487.56,371.28,1.97,41349273.91,100%
delete,delete,6265,0,31.4,31.4,1.3,0,100%
write,write,9380,200158592000,491.81,374.43,1.95,41686992.13,100%
delete,delete,6109,0,30.66,30.66,1.27,0,100%
write,write,9383,197934176000,490.49,374.2,1.95,41221652.98,100%
delete,delete,6142,0,32.32,32.32,1.28,0,100%
write,write,9372,198063396000,486.39,372.38,1.95,41253186.41,100%
delete,delete,6218,0,38.9,38.9,1.3,0,100%
write,write,9336,196947588000,486.8,370.59,1.94,41016101.33,100%
delete,delete,6253,0,40.96,40.96,1.3,0,100%
write,write,9513,195253284000,479.36,366.62,1.98,40662713.82,100%
delete,delete,6424,0,37.48,37.48,1.34,0,100%
write,write,9407,199893992000,485.31,370.47,1.96,41627349.68,100%
delete,delete,6145,0,38.38,38.38,1.28,0,100%
write,write,9446,193350008000,482.56,370.87,1.97,40264650.89,100%
delete,delete,6277,0,38.7,38.7,1.31,0,100%
write,write,9261,198582888000,493.9,376.63,1.93,41360681.22,100%
delete,delete,6162,0,36.76,36.76,1.28,0,100%
write,write,9445,195640924000,481.68,369.81,1.97,40751351.9,100%
delete,delete,6329,0,39.6,39.6,1.32,0,100%
write,write,9479,196555988000,480.64,369.21,1.97,40933140.55,100%
delete,delete,6201,0,39.52,39.52,1.29,0,100%
write,write,9390,195838380000,487.08,372.79,1.96,40785744.36,100%
delete,delete,6089,0,37.28,37.28,1.27,0,100%
write,write,9363,195246444000,487.16,373.38,1.95,40664295.7,100%
delete,delete,6266,0,38.18,38.18,1.31,0,100%
write,write,9351,198454524000,489.94,373.64,1.95,41328092.38,100%
delete,delete,6226,0,35.28,35.28,1.3,0,100%
write,write,9443,194462900000,485.3,371.67,1.97,40501012.93,100%
delete,delete,6439,0,33.83,33.83,1.34,0,100%
write,write,9234,197926800000,494.97,377.54,1.92,41218339.95,100%
delete,delete,6256,0,36.82,36.82,1.3,0,100%
write,write,9272,201729308000,493.61,374.53,1.93,42016146.27,100%
delete,delete,6251,0,35.77,35.77,1.3,0,100%
write,write,9283,199238656000,491.75,375.85,1.93,41498154.29,100%
delete,delete,6185,0,38.06,38.06,1.29,0,100%
write,write,9310,198846352000,491.15,373.65,1.94,41410708.05,100%
delete,delete,6289,0,36.29,36.29,1.31,0,100%
write,write,9219,197474676000,496.72,373.36,1.92,41132725.14,100%
delete,delete,6054,0,36.47,36.47,1.26,0,100%
write,write,9215,195833120000,496.82,374.66,1.92,40783009.65,100%
delete,delete,6297,0,35.37,35.37,1.31,0,100%
write,write,9322,194066224000,490.44,371.23,1.94,40414162.95,100%
delete,delete,6492,0,35.31,35.31,1.35,0,100%
write,write,9328,194784160000,490.01,370.05,1.94,40570102.11,100%
delete,delete,6179,0,37.14,37.14,1.29,0,100%
write,write,9113,198775052000,502.62,377.56,1.9,41401412.07,100%
delete,delete,5943,0,37.01,37.01,1.24,0,100%
