Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,8451,171504612000,536.69,402.22,1.76,35718853.74,100%
delete,delete,5757,0,46.04,46.04,1.2,0,100%
write,write,8220,177062988000,546.02,408.87,1.71,36881383.96,100%
delete,delete,5506,0,56.62,56.62,1.15,0,100%
write,write,7308,154499112000,540.97,410.6,1.52,32175678.13,100%
delete,delete,4911,0,172.57,172.57,1.02,0,100%
write,write,8425,176221372000,536.57,403.13,1.75,36704068.62,100%
delete,delete,5763,0,48.51,48.51,1.2,0,100%
write,write,8422,177071536000,544.4,400.66,1.75,36877434.15,100%
delete,delete,5486,0,39.33,39.33,1.14,0,100%
write,write,8502,177792888000,535.12,398.63,1.77,37029145.69,100%
delete,delete,5704,0,43.99,43.99,1.19,0,100%
write,write,8353,175104760000,541.76,405.97,1.74,36475332.95,100%
delete,delete,5720,0,47.98,47.98,1.19,0,100%
write,write,8506,174258016000,536.12,403.39,1.77,36291036.35,100%
delete,delete,5758,0,41.77,41.77,1.2,0,100%
write,write,8524,176488096000,535.19,404.06,1.78,36761406.96,99.99%
delete,delete,5533,0,31.56,31.56,1.15,0,100%
write,write,8431,176354020000,541.23,405.47,1.76,36725126.35,100%
delete,delete,5567,0,42.77,42.77,1.16,0,100%
write,write,8326,178310380000,548.89,410.63,1.73,37140652.82,99.99%
delete,delete,5520,0,30.81,30.81,1.15,0,100%
write,write,8370,179626776000,544.18,407.62,1.74,37421956.54,100%
delete,delete,5699,0,42.9,42.9,1.19,0,100%
write,write,8428,173665756000,542,408.62,1.76,36170592.24,99.99%
delete,delete,5620,0,30.7,30.7,1.17,0,100%
write,write,8464,178313632000,538.66,401.31,1.76,37137176.28,99.99%
delete,delete,5647,0,32.14,32.14,1.18,0,100%
write,write,8425,176547712000,547.26,414.17,1.75,36775900.53,100%
delete,delete,5551,0,34.07,34.07,1.16,0,100%
write,write,8536,173405200000,534.57,402.43,1.78,36112668.98,99.99%
delete,delete,5545,0,32.03,32.03,1.15,0,100%
write,write,8210,173003624000,541.19,403.14,1.71,36029946.3,99.98%
delete,delete,5537,0,42.91,42.91,1.15,0,100%
write,write,8158,177849604000,550.2,408.54,1.7,37036746.32,99.99%
delete,delete,5502,0,45.91,45.91,1.15,0,100%
write,write,8357,176217740000,537.41,398.73,1.74,36699612.46,99.99%
delete,delete,5562,0,44.87,44.87,1.16,0,100%
write,write,8285,174118688000,549.87,414.99,1.73,36266702.66,100%
delete,delete,5615,0,43.55,43.55,1.17,0,100%
write,write,8376,175961208000,536.62,398.68,1.74,36643667.97,100%
delete,delete,5825,0,52.58,52.58,1.21,0,100%
write,write,8270,176677016000,550.26,404.94,1.72,36811032.33,100%
delete,delete,5605,0,44.26,44.26,1.17,0,100%
write,write,8366,176282048000,539.5,400.68,1.74,36717639.47,99.99%
delete,delete,5315,0,42.48,42.48,1.11,0,100%
write,write,8390,175106648000,534.71,400.98,1.75,36466982.91,100%
delete,delete,5692,0,55.29,55.29,1.19,0,100%
write,write,8566,178972000000,539.89,402.65,1.78,37271910.72,100%
delete,delete,5645,0,31.24,31.24,1.18,0,100%
write,write,8262,179816760000,558.86,420.23,1.72,37451759.84,100%
delete,delete,5430,0,33.76,33.76,1.13,0,100%
write,write,8601,178254528000,535.69,403.89,1.79,37120931.61,100%
delete,delete,5934,0,32.66,32.66,1.24,0,100%
write,write,8458,176876584000,545.04,405.83,1.76,36844905.32,100%
delete,delete,5592,0,33.96,33.96,1.16,0,100%
write,write,8428,172947304000,547.32,413.19,1.76,36022898.38,100%
delete,delete,5464,0,34.32,34.32,1.14,0,100%
write,write,8534,176751164000,533.83,403.18,1.78,36810888.87,99.99%
delete,delete,5458,0,33.93,33.93,1.14,0,100%
write,write,8416,179493556000,542.93,409.96,1.75,37382497.28,100%
delete,delete,5567,0,41.58,41.58,1.16,0,100%
write,write,8219,170906936000,552.36,408.3,1.71,35596734.73,99.99%
delete,delete,5483,0,36.59,36.59,1.14,0,100%
write,write,8332,178307764000,543.42,406.24,1.74,37132675.12,100%
delete,delete,5649,0,48.4,48.4,1.18,0,100%
write,write,8413,176086960000,534.66,402.11,1.75,36677180.46,99.99%
delete,delete,5550,0,43.13,43.13,1.16,0,100%
write,write,8200,175098028000,549.41,411.97,1.71,36468415.52,100%
delete,delete,5519,0,53.54,53.54,1.15,0,100%
write,write,8507,174059264000,532.28,393.22,1.77,36247387.07,100%
delete,delete,5742,0,47.57,47.57,1.2,0,100%
