Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,5437,115207540000,522,135.79,1.13,23997101.37,100%
list,list,940,0,99.32,99.32,0.2,0,100%
write,write,1858,38839876000,977.25,730.65,0.39,8090134.05,100%
delete,delete,882,0,60.39,60.39,0.18,0,100%
read,read,5679,118880160000,522.55,137.94,1.18,24756704.48,100%
list,list,938,0,90.92,90.92,0.2,0,100%
write,write,1878,38053092000,898.55,664.64,0.39,7924527.97,100%
delete,delete,946,0,64.77,64.77,0.2,0,100%
read,read,5604,117302412000,508.7,138.23,1.17,24433920,100%
list,list,880,0,91.71,91.71,0.18,0,100%
write,write,1838,40738904000,985.06,729.85,0.38,8485853.82,100%
delete,delete,994,0,58.81,58.81,0.21,0,100%
read,read,5641,117895648000,509.66,146.93,1.17,24553531.59,100%
list,list,942,0,102.93,102.93,0.2,0,100%
write,write,1872,39889284000,948.5,695.04,0.39,8307539.86,100%
delete,delete,950,0,56.49,56.49,0.2,0,100%
read,read,5668,118419832000,512.81,145.51,1.18,24661781.37,100%
list,list,999,0,98.35,98.35,0.21,0,100%
write,write,1871,38181968000,928.48,702.11,0.39,7951669.34,100%
delete,delete,902,0,65.75,65.75,0.19,0,100%
read,read,5828,121832756000,503.21,132.38,1.21,25380021.13,100%
list,list,950,0,97.28,97.28,0.2,0,100%
write,write,1926,37728564000,884.82,656.53,0.4,7859559.14,100%
delete,delete,956,0,73.95,73.95,0.2,0,100%
read,read,5861,122618552000,504.26,133.46,1.22,25545127.2,100%
list,list,979,0,88.17,88.17,0.2,0,100%
write,write,1901,39037364000,889.89,673.83,0.4,8132655.4,100%
delete,delete,968,0,68.37,68.37,0.2,0,100%
read,read,5632,117367696000,511.76,131.97,1.17,24443430.06,100%
list,list,975,0,98.2,98.2,0.2,0,100%
write,write,1891,39169048000,932.46,693.51,0.39,8157490.67,100%
delete,delete,944,0,63.5,63.5,0.2,0,100%
read,read,5533,113306476000,512.63,139.28,1.15,23597187.99,100%
list,list,934,0,115.57,115.57,0.19,0,100%
