Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
00:42:21,513,70,146,76,10694568000,0,2952644000,0,363.96,70.77,660.33,80.05,109.15,70.77,494,80.05,101.2,13.81,28.75,15.01,2107622975.15,0,581075767.26,0,100%,100%,100%,100%,0,0,0
00:42:26,1747,272,546,312,37067128000,0,10695300000,0,390.18,71.51,769.4,74.95,108.01,71.51,590.04,74.95,297.49,45.97,92.26,53.26,6321561699.17,0,1783670252.39,0,100%,100%,100%,100%,1,1,1
00:42:31,1898,337,640,339,41461676000,0,13514032000,0,417.11,85.63,721.42,61.92,115.97,85.63,537.35,61.92,410.4,72.68,140.21,73.4,8899255168.88,0,2871282120.85,0,100%,100%,100%,100%,2,2,2
00:42:36,1809,288,569,326,38380176000,0,12333212000,0,446.31,85.44,740.54,68.06,123.27,85.44,526.17,68.06,335.47,53.82,104.94,61.59,7117355394.01,0,2276114229.01,0,100%,100%,100%,100%,3,3,3
00:42:41,1475,233,507,247,31293404000,0,10432056000,0,500.16,81.85,927.7,83.17,139.79,81.85,733.38,83.17,265.02,42.27,91.11,44.8,5598040839.85,0,1859884548.61,0,100%,100%,100%,100%,4,4,4
00:42:46,1625,265,511,280,32937404000,0,10038100000,0,473.99,86.4,880.26,51.24,127.21,86.4,639.02,51.24,312.88,50.27,98.9,54.23,6372431669.71,0,1895277727.92,0,100%,100%,100%,100%,5,5,5
00:42:51,1476,236,475,261,29984508000,0,9971824000,0,455.66,87.94,880.41,64.19,139.3,87.94,682.89,64.19,290.94,46.59,94.06,52.34,5915199418.21,0,1990453941.96,0,100%,100%,100%,100%,6,6,6
00:42:56,1524,254,540,264,32736204000,0,11480820000,0,423.47,85.07,1001.04,88.75,110.88,85.07,794.92,88.75,304.35,50.92,107.65,51.24,6516874031.49,0,2247299947.28,0,100%,100%,100%,100%,7,7,7
00:43:01,1540,282,544,269,31491520000,0,10498516000,0,466.99,98.45,778.14,60.58,124.56,98.45,580.73,60.58,315.5,57.2,112.61,53.59,6449782150.83,0,2217884335.6,0,100%,100%,100%,100%,8,8,8
00:43:06,1446,261,447,243,30702060000,0,9709224000,0,518.1,93.92,832.06,49.25,141.31,93.92,551.43,49.25,288.58,51.32,88.34,47.27,6165957582.72,0,1895349373.34,0,100%,100%,100%,100%,9,9,9
00:43:11,1470,276,490,229,32407068000,0,10233652000,0,605.3,92.22,687.1,54.85,147.2,92.22,458.02,54.85,290.75,54.75,95.41,45.07,6414326622.91,0,2020432501.49,0,100%,100%,100%,100%,10,10,10
00:43:16,1409,220,432,249,30241748000,0,9643152000,0,479.67,90.88,826.94,62.91,126.92,90.88,554.92,62.91,278.21,43.89,85.55,49.25,5908487153.26,0,1987919181.53,0,100%,100%,100%,100%,11,11,11
00:43:21,1686,281,569,286,36669732000,0,12530048000,0,454.53,91.03,1000.19,52.3,128.15,91.03,814.14,52.3,352.14,59.61,120.73,61.62,7557071603.34,0,2592917457.24,0,100%,100%,100%,100%,12,12,12
00:43:26,1672,292,581,302,34053256000,0,11875076000,0,414.92,81.78,787.7,65.1,127.12,81.78,575.94,65.1,326.65,58.78,114.78,59.32,6597294428.24,0,2330298370.78,0,100%,100%,100%,100%,13,13,13
00:43:31,1611,267,539,291,33919968000,0,10826096000,0,468.31,98.54,742.15,64.14,125.33,98.54,528.28,64.14,320.22,53.14,105.12,57.7,6673089148.62,0,2108137256.87,0,100%,100%,100%,100%,14,14,14
00:43:36,1650,298,551,262,35949636000,0,10956068000,0,468.29,97.8,762.61,58.32,125.45,97.8,539.69,58.32,323.9,59.42,107.42,50.92,7033814806.45,0,2126007607.52,0,100%,100%,100%,100%,15,15,15
00:43:41,1425,263,490,233,29324724000,0,10890292000,0,496.79,81.05,859.98,59.21,142.48,81.05,561.16,59.21,276.76,50.34,95.19,44.52,5699844271.8,0,2127067093.68,0,100%,100%,100%,100%,16,16,16
00:43:46,1486,288,522,284,31096132000,0,11217900000,0,468.47,94.54,799.36,52.63,134.17,94.54,566.85,52.63,297.19,57.37,104.25,57.7,6269695034.06,0,2192732032.96,0,100%,100%,100%,100%,17,17,17
00:43:51,1593,239,532,309,34245696000,0,11677384000,0,512.26,104.74,876.47,49.34,138.66,104.74,615.36,49.34,313.37,45.46,102.48,60.45,6848838553.18,0,2197952718.87,0,100%,100%,100%,100%,18,18,18
