Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,5465,112976204000,513.43,135.66,1.14,23569662.5,100%
list,list,880,0,106.09,106.09,0.18,0,100%
write,write,1845,37593396000,995.06,743.18,0.38,7842922.89,100%
delete,delete,823,0,70.15,70.15,0.17,0,100%
read,read,5476,111403720000,511.95,142.01,1.14,23211647.11,100%
list,list,901,0,99.98,99.98,0.19,0,100%
write,write,1798,39359332000,1030.87,754.07,0.37,8200757.79,100%
delete,delete,879,0,59.28,59.28,0.18,0,100%
read,read,5329,114150916000,533.33,139.55,1.11,23772130.08,100%
list,list,949,0,99.77,99.77,0.2,0,100%
write,write,1825,38444512000,982.94,742.64,0.38,8006137.6,100%
delete,delete,872,0,81.25,81.25,0.18,0,100%
read,read,5399,110942768000,528.68,144.8,1.12,23109947.19,100%
list,list,908,0,108.9,108.9,0.19,0,100%
write,write,1861,38840848000,959.15,710.81,0.39,8090747.71,100%
delete,delete,946,0,65.61,65.61,0.2,0,100%
read,read,5326,115655920000,533.29,139.75,1.11,24089989.68,100%
list,list,912,0,96.3,96.3,0.19,0,100%
write,write,1764,38834580000,1022.23,760.94,0.37,8088860.75,100%
delete,delete,875,0,79.19,79.19,0.18,0,100%
read,read,5452,114943132000,531.59,146.56,1.14,23943757.24,100%
list,list,956,0,123.79,123.79,0.2,0,100%
write,write,1782,37787580000,973.37,723.35,0.37,7871515.48,100%
delete,delete,877,0,55.92,55.92,0.18,0,100%
read,read,5423,117232556000,537.7,136.99,1.13,24413302.39,100%
list,list,922,0,91.09,91.09,0.19,0,100%
write,write,1680,34968996000,1036.99,780.53,0.35,7282180.84,100%
delete,delete,882,0,67.53,67.53,0.18,0,100%
read,read,5294,111138164000,531.2,141.96,1.11,23219902.84,100%
list,list,901,0,89.81,89.81,0.19,0,100%
write,write,1851,39952332000,992.66,741.97,0.39,8347171.07,100%
delete,delete,893,0,62.11,62.11,0.19,0,100%
read,read,5205,108907380000,530.42,145.84,1.08,22682790.28,100%
list,list,835,0,100.96,100.96,0.17,0,100%
write,write,1826,39101636000,1025.72,767.28,0.38,8143931.19,100%
delete,delete,878,0,94.38,94.38,0.18,0,100%
read,read,5194,113096644000,561.05,147.59,1.08,23557997.2,100%
list,list,890,0,82.13,82.13,0.19,0,100%
write,write,1676,38113256000,1049.16,758.39,0.35,7938979.85,100%
delete,delete,851,0,64.39,64.39,0.18,0,100%
read,read,5367,109241268000,526.63,149.05,1.12,22756317.13,100%
list,list,913,0,87.94,87.94,0.19,0,100%
write,write,1869,40149900000,977.44,732.17,0.39,8363724.39,100%
delete,delete,884,0,75.27,75.27,0.18,0,100%
read,read,5189,108448892000,538.03,144.64,1.08,22664042.11,100%
list,list,840,0,107.49,107.49,0.18,0,100%
write,write,1783,38642800000,1043.67,787.82,0.37,8075712.26,100%
delete,delete,838,0,49.8,49.8,0.18,0,100%
read,read,5405,114349556000,528.57,143.37,1.13,23823836.68,100%
list,list,875,0,108.99,108.99,0.18,0,100%
write,write,1813,37528996000,984.35,766.18,0.38,7818873.14,100%
delete,delete,905,0,69.09,69.09,0.19,0,100%
read,read,5482,114876100000,538.31,149.63,1.14,23923081.18,100%
list,list,878,0,103.8,103.8,0.18,0,100%
write,write,1759,37133608000,963.9,721.27,0.37,7733116.97,100%
