Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
02:03:04,393,57,115,73,7414488000,0,1772284000,0,273.62,58.6,1227.02,158.34,88.18,58.6,1110.3,158.34,77.54,11.26,22.69,14.44,1463675018.85,0,350060168.17,0,100%,100%,100%,100%,0,0,0
02:03:09,1337,242,478,204,26574788000,0,10037128000,0,316.12,57.72,1417.58,200.53,88.42,57.71,1270.34,200.53,230.92,41.56,81.56,35.32,4559987372.29,0,1701961139.25,0,100%,100%,100%,100%,1,1,1
02:03:14,1891,313,620,311,39429916000,0,13186652000,0,413.04,75.8,770.07,72.04,117.85,75.8,592.73,72.04,408.1,67.71,130.16,67.16,8417111407,0,2747060638.02,0,100%,100%,100%,100%,2,2,2
02:03:19,1709,304,556,309,37458068000,0,13119244000,0,474.24,87.68,814.95,67.73,130.32,87.68,565.5,67.73,313.64,56.1,102.36,56.56,6863321921.71,0,2403496220.75,0,100%,100%,100%,100%,3,3,3
02:03:24,1593,303,530,259,31296756000,0,9646064000,0,475.3,80.73,704.6,61.25,134.74,80.73,522.17,61.25,289.14,54.89,95.74,47.01,5646450384.82,0,1742539300.8,0,100%,100%,100%,100%,4,4,4
02:03:29,1431,256,466,251,30965148000,0,10168204000,0,483.22,73.71,988.25,74.61,135,73.71,698.84,74.61,264.76,47.23,86.05,46.37,5681346212.2,0,1896608686.82,0,100%,100%,100%,100%,5,5,5
02:03:34,1223,176,404,182,25456088000,0,9315320000,0,484.67,101.44,1021.53,41.76,126.38,101.43,744.64,41.76,241.31,33.87,81.01,38,5021496720.37,0,1883178897.46,0,100%,100%,100%,100%,6,6,6
02:03:39,1353,216,494,256,28144200000,0,9972320000,0,574.65,76.34,1263.45,38.4,121.17,76.34,1020.47,38.4,270.93,43.29,100.5,49.82,5708733928.25,0,1976415362.33,0,100%,100%,100%,100%,7,7,7
02:03:44,1377,249,427,227,28540308000,0,7416004000,0,480.28,104.57,781.81,61.24,119.45,104.57,593.78,61.24,277.72,50.17,87.18,46.16,5791963108.91,0,1508395791.45,0,100%,100%,100%,100%,8,8,8
02:03:49,1496,270,554,271,28281416000,0,12005492000,0,427.17,76.23,1548.9,62.85,135.79,76.23,1289.37,62.85,290.26,52.16,107.3,52.98,5601993052.98,0,2269185422.64,0,100%,100%,100%,100%,9,9,9
02:03:54,1283,211,427,191,26505860000,0,9053344000,0,375.37,79.12,1217.52,39.89,113.64,79.12,1048.94,39.89,244.4,39.95,82.09,36.37,5040627631.49,0,1788436728.22,0,100%,100%,100%,100%,10,10,10
02:03:59,1523,264,500,270,31229804000,0,9580352000,0,442.14,77.96,1160.54,65.76,122.86,77.96,949.05,65.76,315.92,55.71,103.28,56.38,6388934740.79,0,2051696027.47,0,100%,100%,100%,100%,11,11,11
02:04:04,1497,243,456,215,32278152000,0,8922396000,0,451.33,113.13,1050.7,76.13,124.66,113.13,854.11,76.13,297.48,51.51,91.43,42.99,6491618865.11,0,1823212729.62,0,100%,100%,100%,100%,12,12,12
02:04:09,1410,251,468,246,30832860000,0,10430340000,0,500.05,74.68,820.79,51.41,127.41,74.68,608.68,51.41,281.91,49.54,94.35,48.84,6228676257.67,0,2109243211.76,0,100%,100%,100%,100%,13,13,13
02:04:14,1559,238,511,269,31035272000,0,10104292000,0,524.31,90.95,747.84,64.01,143.29,90.95,549.14,64.01,319.94,49.93,106.5,55.75,6387331507.78,0,2124924268.29,0,100%,100%,100%,100%,14,14,14
02:04:19,1311,209,404,190,27618156000,0,8593688000,0,537.1,104.99,833.98,70.13,132.79,104.99,620.34,70.13,253.54,41.32,80.12,37.38,5318393973.23,0,1652991500.16,0,100%,100%,100%,100%,15,15,15
02:04:24,1455,223,469,240,29196960000,0,10103404000,0,541.32,97.09,1032.34,49.9,140.27,97.09,766.64,49.9,289.8,43.4,91.49,48.55,5860645499.6,0,1928203994.06,0,100%,100%,100%,100%,16,16,16
02:04:29,1365,242,418,227,29258472000,0,8594764000,0,532.57,88.59,844.19,79.69,135.89,88.59,571.1,79.69,275.58,48,85.08,45.58,5891067064.75,0,1742932984.5,0,100%,100%,100%,100%,17,17,17
02:04:36,1517,273,495,222,32145848000,0,10628604000,0,480.22,96.05,861.64,111.23,131.09,96.05,613.26,111.23,319.97,57.75,106.25,47.52,6796778007.39,0,2317194862.75,0,100%,100%,100%,100%,18,18,18
02:04:41,1432,225,519,220,31751536000,0,11021532000,0,553.52,82.16,807.76,144.95,132.26,82.16,557.18,144.95,273.11,42.56,97.92,41.78,6135343073.04,0,2069946147.44,0,100%,100%,100%,100%,19,19,19
02:04:46,1500,236,462,217,30245472000,0,9054744000,0,541.74,101.94,781.1,165.22,146.18,101.94,562.78,165.22,291.15,45.28,89.92,42.05,5851089837.25,0,1766770742.32,0,100%,100%,100%,100%,20,20,20
02:04:51,1487,247,463,224,33389876000,0,10233604000,0,538.87,98.96,769.26,72.38,145.81,98.96,506.44,72.38,295.13,49.31,93.76,44.84,6656049468.83,0,2048929711.38,0,100%,100%,100%,100%,21,21,21
02:04:56,1677,251,560,301,35885952000,0,10499240000,0,478.63,104.54,747.47,80.61,135.8,104.54,553.84,80.61,337.08,48.84,113.37,61.62,7266970688.53,0,2160949559.76,0,100%,100%,100%,100%,22,22,22
02:05:01,1414,235,472,243,29916448000,0,10496308000,0,501.51,109.6,835.64,72.33,137.22,109.6,566.55,72.33,272.66,45.21,90.48,46.11,5756847304,0,1953806042.89,0,100%,100%,100%,100%,23,23,23
02:05:06,1200,185,388,172,27419736000,0,8266444000,0,546.76,75.88,727.16,57.22,139.15,75.88,484.8,57.22,255,40.81,81.16,36.49,5846300414.17,0,1731839923.83,0,100%,100%,100%,100%,24,24,24
02:05:11,1421,231,468,206,29786192000,0,8859012000,0,524.75,108.42,998.96,50.16,130.97,108.42,728.47,50.16,298.01,48.46,97.88,42.47,6159840455.99,0,1827440265.7,0,100%,100%,100%,100%,25,25,25
02:05:16,1386,214,468,211,27754920000,0,10232784000,0,544.93,93.81,762.46,44.44,139.73,93.81,485.38,44.44,264.73,41.34,87.89,39.94,5299356805.01,0,1914530211.03,0,100%,100%,100%,100%,26,26,26
02:05:21,1221,182,416,207,26568024000,0,9708020000,0,662.66,99.37,1099.76,49.51,162.65,99.37,779.45,49.51,240.71,35.72,81.29,40.89,5185015307.46,0,1919723767.04,0,100%,100%,100%,100%,27,27,27
02:05:26,1681,248,539,262,35688112000,0,10891388000,0,512.48,95.07,910.81,74.1,123.95,95.07,663.27,74.1,333.06,48.61,106.55,52.35,7084851452.22,0,2157546191.74,0,100%,100%,100%,100%,28,28,28
02:05:31,1609,277,550,276,31821796000,0,11808580000,0,456.38,87.11,859.1,49.88,130.08,87.11,630.81,49.88,314.51,55.46,106.98,52.86,6223701693.52,0,2256654274.51,0,100%,100%,100%,100%,29,29,29
02:05:36,1391,222,459,260,30046400000,0,8858016000,0,507.2,88.78,738.51,138.75,144.03,88.78,531.35,138.75,275.59,43.7,93.3,51.48,5928323574.74,0,1836057162.78,0,100%,100%,100%,100%,30,30,30
02:05:41,1383,228,432,206,30307356000,0,9511488000,0,597.66,93.56,895.1,86.8,162.14,93.56,624.93,86.8,274.2,44.51,87.09,42.28,6001515669.39,0,1898916469.09,0,100%,100%,100%,100%,31,31,31
02:05:46,1362,236,463,217,28996272000,0,10626676000,0,533.72,133.9,782.54,91.28,144.07,133.9,524.71,91.28,274.74,47.73,93.9,43.88,5726758393.52,0,2198241515.54,0,100%,100%,100%,100%,32,32,32
02:05:51,1513,253,499,234,31623196000,0,11086984000,0,502.37,79.51,911.62,77.53,133.67,79.51,656.28,77.53,310.47,50.77,100.92,46.27,6500896171.41,0,2230081513.48,0,100%,100%,100%,100%,33,33,33
02:05:56,1380,214,462,219,30503760000,0,10430256000,0,477.03,86.98,1276.14,128.38,137.33,86.98,1033.45,128.38,262.8,40.84,89.47,42.78,5775944904.52,0,2071154983.65,0,100%,100%,100%,100%,34,34,34
02:06:01,1249,202,474,209,30695992000,0,10429704000,0,401.99,68.52,1236.9,133.48,108.24,68.52,1079.76,133.48,248.61,39.13,91.86,40.77,6194720930.05,0,2019354240.42,0,100%,100%,100%,100%,35,35,35
02:06:06,1404,210,459,238,28016040000,0,10038072000,0,450.14,118.27,871.39,78.92,128.63,118.27,661.58,78.92,290.78,44.83,98.11,49.51,5786566955.68,0,2120122798.41,0,100%,100%,100%,100%,36,36,36
02:06:11,1508,256,451,239,31950236000,0,8857804000,0,550.72,92.98,803.92,66.24,144.49,92.98,575.61,66.24,313.38,53.08,95.44,50.41,6655344696.51,0,1956074748.08,0,100%,100%,100%,100%,37,37,37
02:06:16,1560,261,511,248,33984096000,0,11347960000,0,517.88,95.08,823.66,78.7,137.7,95.08,589.56,78.7,321.7,52.73,106.37,50.02,6976324674.3,0,2413981824.13,0,100%,100%,100%,100%,38,38,38
02:06:21,1489,272,500,278,30050032000,0,10301624000,0,487.54,104.99,774.87,90.85,143.04,104.99,554.12,90.85,289.73,52.24,94.58,54.16,5811156821.22,0,1974798782.72,0,100%,100%,100%,100%,39,39,39
02:06:26,1299,204,421,223,27686100000,0,7939456000,0,510.69,104.54,870.29,61.93,142.42,104.54,611.11,61.93,259.48,39.38,83.54,45.83,5420510771.44,0,1562065170.61,0,100%,100%,100%,100%,40,40,40
02:06:31,1180,181,408,187,25324552000,0,8855832000,0,576.87,79.04,1270.78,61.22,126.16,79.04,941.07,61.22,226.57,34.4,77.05,35.42,4891142267.78,0,1672927944.92,0,100%,100%,100%,100%,41,41,41
02:06:36,1586,257,498,255,33460424000,0,10890564000,0,513.88,69.43,845.06,48.13,138.83,69.43,584.01,48.13,324.3,52.59,99.54,52.9,6813943655.3,0,2183521074.83,0,100%,100%,100%,100%,42,42,42
02:06:41,1565,248,525,255,30444368000,0,9908112000,0,494.54,92.42,839.29,64.27,130.16,92.42,632.23,64.27,305.89,47.9,101.1,48.52,6009753334.09,0,1974485315.74,0,100%,100%,100%,100%,43,43,43
02:06:46,1393,247,430,224,27426868000,0,9774208000,0,448.42,86.3,1045.92,62.9,139.6,86.3,792.64,62.9,289.72,51.19,90.03,45.71,5697245715.54,0,2035648257.61,0,100%,100%,100%,100%,44,44,44
02:06:51,1305,203,480,230,27816888000,0,10365336000,0,494.76,109.39,1010.56,63.62,136.08,109.39,758.2,63.62,282.85,43.71,102.09,50.87,5971744786.47,0,2202274845.65,0,100%,100%,100%,100%,45,45,45
02:06:56,1308,226,418,249,28209372000,0,8070148000,0,509.36,106.35,936.33,81.93,141.22,106.35,736.3,81.93,254.29,43.44,81.17,48.1,5499614869.09,0,1560036139.91,0,100%,100%,100%,100%,46,46,46
02:07:01,1494,234,546,233,32145636000,0,11678280000,0,434.46,80.18,1335.58,100.89,115,80.18,1082.74,100.89,308.99,48.53,115.72,48.82,6724571313.88,0,2409023872.25,0,100%,100%,100%,100%,47,47,47
02:07:06,1523,238,518,280,31296296000,0,10497632000,0,453.02,99.07,773.8,71.01,125.82,99.07,569.05,71.01,285.1,45.18,98.78,52.74,5790914561.24,0,1928730106.83,0,100%,100%,100%,100%,48,48,48
02:07:11,1336,236,474,209,28931716000,0,11020632000,0,546.69,107,1056.56,72.75,143.47,107,779.18,72.75,262.92,46.94,93.62,41.01,5653891195.83,0,2172560427.68,0,100%,100%,100%,100%,49,49,49
02:07:16,1418,259,544,239,27557372000,0,12136336000,0,477.77,82.72,911.12,81.52,134.35,82.72,597.25,81.52,276.49,49.17,106.31,47.53,5314423020.47,0,2355987970.04,0,100%,100%,100%,100%,50,50,50
02:07:21,1579,243,513,240,31687972000,0,10431780000,0,484.79,103.83,740.13,88.74,131.74,103.83,501.98,88.74,313.84,48.28,102.05,48.43,6294313712.77,0,2077988045.85,0,100%,100%,100%,100%,51,51,51
02:07:26,1536,232,535,272,31360440000,0,10759708000,0,491.98,95.67,777.8,67.29,136.97,95.67,530.36,67.29,315.75,46.95,110.26,56.03,6346850823.25,0,2183577448.41,0,100%,100%,100%,100%,52,52,52
02:07:31,1571,251,496,252,33264248000,0,9186904000,0,493.79,109.41,765.59,51.37,129.38,109.41,546.64,51.37,307.62,49.3,97.87,47.03,6592775001.45,0,1840854029.73,0,100%,100%,100%,100%,53,53,53
02:07:36,1281,225,457,229,28602336000,0,9316252000,0,563.9,108.06,684.76,76.13,146.79,108.06,501.73,76.13,255.73,43.7,90.17,43.72,5684637466.62,0,1799286664.28,0,100%,100%,100%,100%,54,54,54
