Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,3192,66460104000,828.66,524.92,0.67,13851626.51,99.97%
list,list,506,0,405.79,405.79,0.11,0,100%
write,write,1093,22634692000,708.79,478.43,0.23,4717526.47,99.64%
delete,delete,553,0,286.96,286.96,0.12,0,100%
read,read,3367,72100516000,660.11,350.89,0.71,15101602.27,100%
list,list,560,0,531.54,531.54,0.12,0,100%
write,write,1086,24274164000,755.46,553.62,0.23,5084273.88,99.54%
delete,delete,534,0,756.8,756.8,0.11,0,100%
read,read,3407,72294932000,781.37,482.78,0.71,15085883.3,99.97%
list,list,562,0,369.21,369.21,0.12,0,100%
write,write,1206,25128420000,747.36,495.13,0.25,5243582.1,99.83%
delete,delete,510,0,387.57,387.57,0.11,0,100%
read,read,3080,62330360000,860.19,554.13,0.65,13195528.75,100%
list,list,506,0,239.86,239.86,0.11,0,100%
write,write,1059,22369668000,715.89,520.13,0.22,4735727.46,99.62%
delete,delete,537,0,524.97,524.97,0.11,0,100%
read,read,3309,69084072000,798.48,496.22,0.69,14491996.52,99.97%
list,list,620,0,848.4,848.4,0.13,0,100%
write,write,1047,22567236000,774.2,553.33,0.22,4734004.47,100%
delete,delete,554,0,337.65,337.65,0.12,0,100%
read,read,3143,64230080000,863.18,557.85,0.66,13477973.94,100%
list,list,528,0,491.16,491.16,0.11,0,100%
write,write,1063,21716524000,912.82,634.9,0.22,4556973.06,99.72%
delete,delete,541,0,933.3,933.3,0.11,0,100%
read,read,3007,65340040000,958.29,616,0.63,13607320.54,99.97%
list,list,524,0,322.36,322.35,0.11,0,100%
write,write,966,21451008000,770.14,564.12,0.2,4467256.86,99.69%
delete,delete,511,0,175.08,175.08,0.11,0,100%
read,read,3131,64952144000,744.66,428.8,0.65,13562118.19,100%
list,list,530,0,1131.52,1131.52,0.11,0,100%
write,write,997,22174624000,675.16,493.38,0.21,4630099.22,99.8%
delete,delete,525,0,1864.25,1864.25,0.11,0,100%
read,read,2762,58390388000,837.86,553.09,0.58,12341061.65,99.96%
list,list,466,0,181.4,181.4,0.1,0,100%
write,write,881,19287332000,633.32,442.2,0.19,4076461.24,99.66%
delete,delete,456,0,806.34,806.34,0.1,0,100%
read,read,3088,64946872000,959.74,630.59,0.65,13613775.67,99.97%
list,list,505,0,69.97,69.97,0.11,0,100%
write,write,994,21255364000,715.88,492.36,0.21,4455422.54,99.7%
delete,delete,483,0,294.01,294.01,0.1,0,100%
read,read,5405,111663104000,445.43,183.04,1.13,23256949.66,99.87%
list,list,867,0,135.85,135.85,0.18,0,99.66%
